name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Erlangen, Bayern, Deutschland",2022-01-01,12,3.4,9,12,0.5,8.1,7.2,88.9,0,0,0,,0,0,,23,215.3,1027.1,80.4,34.1,21.2,1.7,1,,2022-01-01T08:12:48,2022-01-01T16:26:31,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,remote,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-02,10.4,1.6,5.7,10.4,-1.8,3.7,3.9,89.1,0,0,0,,0,0,,19.1,147.1,1020.4,73.3,27.3,22.7,2,1,,2022-01-02T08:12:44,2022-01-02T16:27:32,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-03,11.5,7.3,8.7,11.5,3.2,6.7,6,83.5,8.93,100,62.5,rain,0,0,,34.6,229,1015,95,42.5,15,1.3,1,,2022-01-03T08:12:36,2022-01-03T16:28:36,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-04,10.5,4.1,7.2,10.5,0.9,4.7,6.5,94.9,20.506,100,100,rain,0.6,0.2,,24.7,202.5,1000.4,98.4,19.7,7.9,0.6,0,,2022-01-04T08:12:25,2022-01-04T16:29:42,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-05,4.8,1.2,2.6,1.3,-4.9,-1.9,-0.2,82.3,4.321,100,50,"rain,snow",1.1,0.6,,32.8,246,1006.5,62.7,36.4,29.9,2.6,3,,2022-01-05T08:12:12,2022-01-05T16:30:51,0.05,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-06,3.5,-3,1.2,1.9,-6.8,-2.3,-1.3,84.6,0.346,100,29.17,"rain,snow",0.5,1,,22,264.6,1018.4,31.6,36.6,25.6,2.1,1,,2022-01-06T08:11:55,2022-01-06T16:32:01,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-07,0.6,-4.2,-1.3,-2.1,-9,-5.5,-2.1,94.3,1.66,100,41.67,"rain,snow",3.7,1.1,,18.4,146.5,1019.3,76,15.8,19.6,1.5,1,,2022-01-07T08:11:35,2022-01-07T16:33:14,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-08,1.3,-0.5,0.4,-1.6,-5.3,-3.6,-0.9,90.8,4.207,100,50,"rain,snow",1.8,4,,26.8,169.4,1011.9,66.3,26.3,5.5,0.3,0,,2022-01-08T08:11:12,2022-01-08T16:34:29,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-09,3.2,0.5,1.7,0.7,-5.3,-2.4,0.7,93.2,5.765,100,66.67,"rain,snow",0.2,4,,31.5,194.9,1002.4,78.8,26.4,12.2,1,1,,2022-01-09T08:10:46,2022-01-09T16:35:46,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-10,3.3,-0.1,1.4,2.9,-1.5,0.4,0.7,95,0.007,100,8.33,"rain,snow",7.7,6.4,18.7,9,325.9,1020.5,69.9,15.9,26,2.2,1,10,2022-01-10T08:10:18,2022-01-10T16:37:04,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-11,3.4,-1.1,1.4,1.4,-3.4,-0.1,-0.6,86.8,0,0,0,,0.1,7.1,17.6,9.3,18.9,1033.8,38.1,27.2,32.8,2.9,1,10,2022-01-11T08:09:46,2022-01-11T16:38:25,0.33,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-12,1.2,-2.8,-0.7,1.2,-5.4,-2.1,-3.4,82.1,0,0,0,,0.9,7.1,6.1,8.5,114.2,1039.8,41.4,39.4,42.8,3.8,2,10,2022-01-12T08:09:11,2022-01-12T16:39:47,0.38,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-13,2.6,-2,0.1,1,-5.2,-1.5,-1.7,88.3,0,0,0,,0.2,7.2,4.7,10.2,169,1042,5.5,15.2,34.2,2.9,2,10,2022-01-13T08:08:34,2022-01-13T16:41:11,0.41,Clear,Clear conditions throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-14,4.2,-3.2,-0.9,4.2,-6.8,-3.1,-2.3,91.2,0,0,0,,0,7,19.4,11.3,69.1,1036.7,4.8,9,60.3,5.2,3,10,2022-01-14T08:07:54,2022-01-14T16:42:36,0.45,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-15,3.2,-2.7,0,2.5,-6.7,-1.3,-1.3,91.3,0,0,0,,3.1,8.3,7.2,11.3,84.5,1031.1,29.2,14.3,39,3.3,2,10,2022-01-15T08:07:10,2022-01-15T16:44:03,0.47,Partially cloudy,Clearing in the afternoon.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-16,1.6,-0.4,0.2,-1,-5.7,-3.5,-0.9,92,0.114,100,12.5,"rain,snow",0.3,8.1,47.2,23.9,229.5,1027.5,90.3,7.9,10.8,1,0,10,2022-01-16T08:06:24,2022-01-16T16:45:31,0.49,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-17,3.4,1.7,2.6,0.1,-3.1,-2.1,1,89.1,1.145,100,54.17,"rain,snow",0,7.7,52.9,32.1,257.8,1031.6,100,15.9,13.8,1.3,1,10,2022-01-17T08:05:36,2022-01-17T16:47:01,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-18,4.7,1.7,3.1,4.7,0.4,2,1.9,91.9,0.106,100,33.33,"rain,snow",0.2,6.2,32.4,12.1,323.1,1037.6,53.7,26.2,36.9,3.2,2,10,2022-01-18T08:04:45,2022-01-18T16:48:32,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-19,2.9,0.3,2,-0.1,-3.2,-1.5,-0.9,81,0,0,0,snow,0,4.7,48.6,23,197.7,1028.6,48.2,36.6,31.1,2.7,2,10,2022-01-19T08:03:51,2022-01-19T16:50:04,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-20,2.9,0.2,1.6,-1.3,-6.6,-3.5,-0.7,84.6,2.237,100,50,"rain,snow",1.3,2.2,51.1,34.4,275.8,1024,86.8,25.4,33.9,3,2,10,2022-01-20T08:02:54,2022-01-20T16:51:37,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-21,1.1,-4.8,-0.8,-2.8,-6.6,-4.4,-2.2,90.2,1.383,100,66.67,"rain,snow",1.1,1.9,43.9,26.5,272.7,1031.3,70.9,22.4,29.1,2.6,1,10,2022-01-21T08:01:55,2022-01-21T16:53:11,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-22,3.9,1.1,2.9,1.1,-3.6,-1.4,2,93.9,2.562,100,79.17,"rain,snow",8.1,6.1,50.8,24.6,275.9,1031.3,100,11.2,11.3,1,1,10,2022-01-22T08:00:54,2022-01-22T16:54:46,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-23,4.8,2.5,3.4,4.5,0.4,2.1,1.7,89,0.083,100,25,rain,4.3,8.1,28.8,11.5,302.7,1035.2,96.6,25.7,26.2,2.3,1,10,2022-01-23T07:59:50,2022-01-23T16:56:22,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-24,3.8,-0.1,2.8,2.7,-1.8,1.6,0.8,87.3,0,0,0,,0,5.9,13.3,13.5,96.1,1035.5,38.2,42.7,18.2,1.6,1,10,2022-01-24T07:58:43,2022-01-24T16:57:59,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-25,0.2,-3.4,-1.1,-0.2,-5.4,-2.2,-1.5,97.4,0,0,0,,0,4.6,7.6,8,128.8,1034.7,4.5,7.8,25.7,2.3,1,10,2022-01-25T07:57:35,2022-01-25T16:59:37,0.75,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-26,-0.1,-0.6,-0.3,-0.2,-5.3,-3.5,-1.9,89.4,0,0,0,,0,4.5,26.6,18.5,267.9,1032.8,51.5,11.7,11.5,1,0,10,2022-01-26T07:56:24,2022-01-26T17:01:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-27,2.1,-2.1,-0.3,-2.1,-7.8,-4.9,-1.8,89.7,0.3,100,20.83,"rain,snow",0.1,4.4,60.1,23.2,246.2,1028.2,99.7,11.1,13.1,1.3,1,10,2022-01-27T07:55:10,2022-01-27T17:02:54,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
