datetime,temp,windspeed,precip,cloudcover,visibility,sealevelpressure,solarradiation
2022-01-01,9.8,2.4,0.054,88.9,3.4,1027.8,490.5
2022-01-02,10.5,2.4,0,83.9,10,1027.4,489.1
2022-01-03,11.4,3.3,0.056,85.1,9.5,1021.7,490.3
2022-01-04,11.9,6.5,0.108,85.5,9.9,1014.1,522.9
2022-01-05,12.5,9.8,1.628,88.7,9.8,1002.6,452.1
2022-01-06,7.4,17.8,4.504,64.6,10,1010.3,473
2022-01-07,7.3,5.7,0.292,0,10,1017.7,510.5
2022-01-08,2.8,4.1,0.728,0,10,1014.5,602.8
2022-01-09,3.6,10.6,3.247,65.6,9.3,1005.2,500.8
2022-01-10,7.2,11.4,0.001,30.6,10,1008.9,509.5
2022-01-11,8.7,12.1,0.147,4.4,10,1019.6,511.9
2022-01-12,6.8,12.2,0,0,10,1027.9,761
2022-01-13,7.8,9.9,0.145,0,10,1034.1,514.7
2022-01-14,4.1,3.4,1.454,0,10,1031.7,513
2022-01-15,3.6,1.6,0,0.1,9.9,1026.4,513.1
2022-01-16,6.7,4.9,0,62.7,8,1026.1,490.3
2022-01-17,4.4,4.1,0,28.8,7.1,1027.3,512.9
2022-01-18,5.9,3.3,0.108,16,9.4,1030.9,520.3
2022-01-19,4.1,4.1,0,15.4,10,1030.6,521.8
2022-01-20,7.8,4.9,2.82,70.8,8.6,1021,532.8
2022-01-21,6,9.8,0,32.8,6.5,1022,495.7
2022-01-22,2.3,4.1,0,0,9.9,1027.7,600
2022-01-23,2.1,1.6,0,6.9,9.9,1030.1,761
2022-01-24,3.1,3.3,0,6.4,8.5,1031,761
2022-01-25,3.9,3.3,0,4.9,10,1032.8,761
2022-01-26,5.9,2.4,0,88.5,9.3,1029.3,761
2022-01-27,6.6,3.3,0,77.4,9,1027.8,761
2022-01-28,9.3,7.3,0,45,10,1026.1,700
2022-01-29,5,5,0,9.1,10,1030.1,761
2022-01-30,7.5,4.2,0,81.1,9.9,1022.5,761
2022-01-31,8.8,9,0,74.3,9.4,1011.7,761
2022-02-01,8.9,11.4,0,0,10,1011.8,761
2022-02-02,5.5,3.4,0,0.2,10,1013.9,761
2022-02-03,7.4,3.4,0,30.9,7.7,1021.6,647.3
2022-02-04,10,4.2,0.055,84.1,9.8,1018.8,435.2
2022-02-05,10.4,4.9,0.561,67.5,6.5,1019.1,485.9
2022-02-06,7.5,9.5,0,17.2,10,1021.9,520.6
2022-02-07,10.6,10.6,0.199,47.9,10,1016.4,509.1
2022-02-08,5.4,4.1,0,0,10,1030.9,526.5
2022-02-09,6.4,7.3,0,19.9,10,1033.2,525.8
2022-02-10,8.5,6.5,0,36.4,10,1029,519.9
2022-02-11,7.1,4.1,0,47.9,10,1025.3,507.3
2022-02-12,9.7,9.8,0,31,10,1027.9,539.3
2022-02-13,8,4.9,0,33.9,10,1025.7,511.2
2022-02-14,8.9,5.7,2.654,84.6,8.3,1018.5,434.3
2022-02-15,8.9,9,9.548,84.2,9.3,1012.6,430
2022-02-16,7.8,4.1,0.108,38.4,7.6,1017,543.5
2022-02-17,9.2,4.9,0.054,70.4,9.6,1015.5,467
2022-02-18,9,3.4,0,61.2,10,1017.7,469.8
2022-02-19,12.6,3.3,0,80.8,10,1016.5,461.2
2022-02-20,12.4,6.5,0,35.7,10,1018.7,558.5
2022-02-21,9.8,9.9,2.08,73.2,9.8,1010.9,439.1
2022-02-22,9.2,9.8,0,0,10,1015.1,540.5
2022-02-23,8,4.1,0.038,0,10,1024.6,538.5
2022-02-24,8.5,6.5,0,5.8,10,1023.8,515
2022-02-25,10,13,0.653,79.9,9.4,1018.9,463.3
2022-02-26,8.1,12.9,5.525,53.3,9.8,1022.8,524.2
2022-02-27,8.1,12.5,0.145,33.4,10,1024.4,460.2
2022-02-28,8.7,12.2,0,2.1,10,1025.5,544.7
2022-03-01,6.4,10.2,0,18.2,10,1028.7,532.6
2022-03-02,4.6,6.5,0,0,10,1024.4,547.8
2022-03-03,7.8,6.5,0,19.8,10,1017.7,529.9
2022-03-04,9.4,10.6,0,45,10,1013.7,519.3
2022-03-05,6.9,12.1,0,14.8,10,1015.6,542.7
2022-03-06,5.7,9,0,35.8,10,1016.3,356.3
2022-03-07,6.7,9,0,31.2,10,1017.7,284.1
2022-03-08,5.4,14,0.054,2.3,10,1021.5,568.6
2022-03-09,5.1,5.7,0,0,10,1024.1,531
2022-03-10,7.1,6.5,0.023,0,10,1025.1,568.7
2022-03-11,8.3,8.1,0,5.5,10,1024.5,519.9
2022-03-12,8.1,10.6,0,2.2,10,1025.8,522.3
2022-03-13,8.1,4.1,0,4.3,10,1025.5,540.6
2022-03-14,11.9,9,0,28.8,10,1030.5,525.7
2022-03-15,10.8,9.4,0,5.5,10,1033.3,489.4
2022-03-16,12,9.4,0,78.1,10,1026.5,427
2022-03-17,12.2,35.3,0,3,10,1024.1,465.5
2022-03-18,12.9,29.6,0,0,10,1028.8,487.6
2022-03-19,11.9,29.4,0,0,10,1031.1,533.3
2022-03-20,11.6,25.9,0,3.5,10,1033.1,555.9
2022-03-21,10.8,24.1,0,0,10,1034.4,554.7
2022-03-22,10.6,24.1,0,0,10,1033,536
2022-03-23,11.7,18.3,0,0,10,1029.5,573.2
2022-03-24,11.8,13,0,0,10,1027.2,547.2
2022-03-25,11.3,16.5,0,0,10,1026.4,535
2022-03-26,13.2,18.3,0,1.9,10,1025.6,534.3
2022-03-27,15.6,24.1,0,0,10,1025.3,474.1
2022-03-28,14.9,18.3,0,0,10,1023.4,528.5
2022-03-29,12.7,14.8,0,3.2,10,1016.5,493.4
2022-03-30,11.4,9.4,2.982,92.4,8,1005,358.3
2022-03-31,11.2,12.9,46.579,90.8,6.3,992.3,413.9
2022-04-01,11.6,25.9,0.001,82.5,10,994.4,451.2
2022-04-02,6.4,20.5,11.202,72.5,9.6,1000.9,416.8
2022-04-03,7.3,11.2,0.108,40.5,10,1012.5,477.8
2022-04-04,10.6,13,0.209,48,10,1017.1,537.8
2022-04-05,10,16.6,0,0,10,1014.4,576.9
2022-04-06,9.5,18.4,0.598,27.2,9.7,1011.3,475.3
2022-04-07,11.4,22.4,2.691,84.1,9.9,1008.3,402.7
2022-04-08,16.1,29.6,0,70.4,10,1008.5,467.5
2022-04-09,13.3,40.6,0.652,52.8,10,1005,515.3
2022-04-10,11.1,16.5,1.562,16.8,10,1017.2,599.6
2022-04-11,11,16.6,0,0,10,1022.3,594.8
2022-04-12,12.5,9.3,0.108,4.2,10,1020.6,579.8
2022-04-13,15.2,20.5,0,0,10,1017.6,550.6
2022-04-14,17.1,16.6,0,0,10,1017.4,576.7
2022-04-15,18.1,20.5,0,0,10,1017.4,597.9
2022-04-16,17.9,38.9,0,11.3,10,1015.4,576
2022-04-17,13.2,31.7,0,12,10,1017.7,588.7
2022-04-18,14,20.7,0,0,10,1015.1,586.7
2022-04-19,13.1,22.3,0,32.3,10,1012.1,534.5
2022-04-20,15.7,13,0,74.8,10,1011.4,476
2022-04-21,14.4,35.3,12.513,83.2,9.4,1006.5,436.5
2022-04-22,13,13,13.252,87.8,9.3,1000.5,388.8
2022-04-23,15.8,22.4,0,64.4,10,1007.3,511.2
2022-04-24,12.5,18.4,17.342,69,9.6,1007.1,401.5
2022-04-25,13.6,20.6,1.081,60.4,9.7,1011.9,462.6
2022-04-26,14.8,20.5,0,21.8,10,1015.2,546.7
2022-04-27,16.3,16.5,0,17,10,1017.4,530.3
2022-04-28,16.6,25.9,0,0.1,10,1021.2,556.7
2022-04-29,17.6,32.9,0,0,10,1022.5,588.9
2022-04-30,16.9,18.3,0,0,10,1018.6,581.7
2022-05-01,15.3,18.4,0,41,10,1015.7,412.6
2022-05-02,15.6,18.4,0.001,20.1,10,1013.9,521.3
2022-05-03,16.2,14.8,0.054,20.2,10,1014.1,476.2
2022-05-04,17.2,16.5,0,21,9.9,1017.4,536
2022-05-05,14.2,9.4,2.267,45.2,9.4,1019.2,352.2
2022-05-06,16,25.9,8.062,74.6,9.4,1015.3,401.9
2022-05-07,17.4,29.6,0.003,37,10,1016.2,463.7
2022-05-08,18.9,24.1,0.002,33.1,10,1017.3,455.2
2022-05-09,20.2,29.4,0,29.1,10,1020.5,510.3
2022-05-10,19.8,14.7,0.068,11.8,10,1020.9,544.8
2022-05-11,18.9,18.4,0,0.2,9.8,1021.7,555.9
2022-05-12,19.4,20.5,0,25,10,1023.2,552.7
2022-05-13,18.7,20.5,0,0,10,1021.4,561.9
2022-05-14,19,16.5,0,0,10,1019.7,558.5
2022-05-15,20.1,16.5,0,1.2,10,1019.1,528.7
2022-05-16,20.1,18.4,0,0,10,1020.1,567.2
2022-05-17,20.9,16.5,0,0,10,1019.1,571.8
2022-05-18,22.2,29.4,0,4.6,10,1019.9,555.4
