day,cluster0,cluster1,weighted_mean,max
0,0.00033288685668719374,0.9996671131433128,0.9996671131433128,1
1,0.0003257661974362275,0.9996742338025637,0.9996742338025637,1
2,1.0,0.0,0.0,0
3,1.0,0.0,0.0,0
4,1.0,0.0,0.0,0
5,1.0,7.607248228489575e-57,7.607248228489575e-57,0
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,0.11656842053548089,0.8834315794645192,0.8834315794645192,1
10,5.457056255748246e-05,0.9999454294374426,0.9999454294374426,1
11,6.361256046143863e-05,0.9999363874395386,0.9999363874395386,1
12,3.289023918896325e-07,0.9999996710976081,0.9999996710976081,1
13,3.344585019552941e-07,0.9999996655414981,0.9999996655414981,1
14,1.432721568868816e-05,0.9999856727843114,0.9999856727843114,1
15,0.9073373468859683,0.09266265311403163,0.09266265311403163,0
16,1.0,0.0,0.0,0
17,1.0,5.811238663297634e-19,5.811238663297634e-19,0
18,0.00010535434496322661,0.9998946456550367,0.9998946456550367,1
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,1.0,0.0,0.0,0
22,0.9999999803560045,1.9643995612875614e-08,1.9643995612875614e-08,0
23,4.5398195665484725e-05,0.9999546018043345,0.9999546018043345,1
24,7.867448211572228e-08,0.9999999213255178,0.9999999213255178,1
25,5.669840758010693e-05,0.99994330159242,0.99994330159242,1
26,1.0,7.656363089878328e-49,7.656363089878328e-49,0
27,1.0,4.141691050705716e-116,4.141691050705716e-116,0
28,0.20966081989338606,0.790339180106614,0.790339180106614,1
29,1.0,0.0,0.0,0
30,1.0,0.0,0.0,0
31,1.0,0.0,0.0,0
32,1.0,0.0,0.0,0
33,1.0,1.3184904149253346e-22,1.3184904149253346e-22,0
34,1.0,4.757481137927518e-39,4.757481137927518e-39,0
35,1.0,0.0,0.0,0
36,1.0,0.0,0.0,0
37,1.0,0.0,0.0,0
38,1.0,2.72392409533806e-310,2.72392409533806e-310,0
39,6.732260249595047e-05,0.9999326773975041,0.9999326773975041,1
40,0.00017630500715136533,0.9998236949928486,0.9998236949928486,1
41,1.0,0.0,0.0,0
42,5.1215790509466124e-05,0.9999487842094905,0.9999487842094905,1
43,1.434759328179144e-06,0.9999985652406719,0.9999985652406719,1
44,6.70051880298377e-06,0.999993299481197,0.999993299481197,1
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,1.0,0.0,0.0,0
48,1.0,0.0,0.0,0
49,1.2890909298889574e-05,0.9999871090907011,0.9999871090907011,1
50,1.0,0.0,0.0,0
51,1.0,0.0,0.0,0
52,1.0,7.769098356041193e-77,7.769098356041193e-77,0
53,1.0,0.0,0.0,0
54,1.0,0.0,0.0,0
55,1.0,0.0,0.0,0
56,0.0003708690639942169,0.9996291309360058,0.9996291309360058,1
57,9.501832657121203e-07,0.9999990498167343,0.9999990498167343,1
58,5.714559874165079e-08,0.9999999428544013,0.9999999428544013,1
59,1.250631344120699e-07,0.9999998749368656,0.9999998749368656,1
60,9.73238111736468e-05,0.9999026761888264,0.9999026761888264,1
61,4.537304448830188e-08,0.9999999546269556,0.9999999546269556,1
62,3.962692514998108e-07,0.9999996037307485,0.9999996037307485,1
63,8.349217966176587e-05,0.9999165078203383,0.9999165078203383,1
64,8.474461596929688e-06,0.999991525538403,0.999991525538403,1
65,1.2425098934391537e-07,0.9999998757490106,0.9999998757490106,1
66,4.762666939522027e-08,0.9999999523733305,0.9999999523733305,1
67,2.0032983860034105e-08,0.9999999799670162,0.9999999799670162,1
68,8.727562350867968e-09,0.9999999912724377,0.9999999912724377,1
69,2.6316931695549657e-10,0.9999999997368306,0.9999999997368306,1
70,3.069743545215006e-09,0.9999999969302564,0.9999999969302564,1
71,1.458955692568363e-10,0.9999999998541044,0.9999999998541044,1
72,1.0,0.0,0.0,0
73,1.0,0.0,0.0,0
74,0.0005157912455467812,0.9994842087544532,0.9994842087544532,1
75,0.0006219495009684979,0.9993780504990315,0.9993780504990315,1
76,0.0005351594107708985,0.9994648405892291,0.9994648405892291,1
77,1.0,0.0,0.0,0
78,2.3320795045808122e-08,0.9999999766792049,0.9999999766792049,1
79,9.368370132272096e-09,0.9999999906316298,0.9999999906316298,1
80,1.8130512362899634e-09,0.9999999981869488,0.9999999981869488,1
81,1.4043471125116807e-09,0.9999999985956528,0.9999999985956528,1
82,2.559819650846077e-09,0.9999999974401804,0.9999999974401804,1
83,6.599025320809662e-09,0.9999999934009747,0.9999999934009747,1
84,2.037479177138392e-08,0.9999999796252083,0.9999999796252083,1
85,1.814193832684247e-07,0.9999998185806167,0.9999998185806167,1
86,1.6901659371684945e-07,0.9999998309834064,0.9999998309834064,1
87,0.00019976814604107617,0.9998002318539589,0.9998002318539589,1
88,1.0,0.0,0.0,0
89,0.9999999998055749,1.9442506498894383e-10,1.9442506498894383e-10,0
90,1.0,0.0,0.0,0
91,1.0,0.0,0.0,0
92,0.0030083420877824443,0.9969916579122176,0.9969916579122176,1
93,4.151620847348035e-05,0.9999584837915265,0.9999584837915265,1
94,1.0,0.0,0.0,0
95,0.9999999999974308,2.5691513843590674e-12,2.5691513843590674e-12,0
96,1.0,0.0,0.0,0
97,1.0,0.0,0.0,0
98,1.0,0.0,0.0,0
99,1.0,4.229927353286697e-156,4.229927353286697e-156,0
100,1.1490969674853054e-05,0.9999885090303251,0.9999885090303251,1
101,4.649169540677655e-06,0.9999953508304593,0.9999953508304593,1
102,2.577316198061617e-05,0.9999742268380193,0.9999742268380193,1
103,1.0,0.0,0.0,0
104,0.11399945452504613,0.8860005454749539,0.8860005454749539,1
105,1.1179759792148154e-05,0.9999888202402079,0.9999888202402079,1
106,9.386249763228775e-07,0.9999990613750237,0.9999990613750237,1
107,1.154679975085692e-06,0.9999988453200248,0.9999988453200248,1
108,1.3056063922964219e-05,0.999986943936077,0.999986943936077,1
109,2.069796871988542e-06,0.999997930203128,0.999997930203128,1
110,0.0007326329170917529,0.9992673670829083,0.9992673670829083,1
111,5.109745887615658e-05,0.9999489025411239,0.9999489025411239,1
112,0.0010277314453547132,0.9989722685546453,0.9989722685546453,1
113,1.0,0.0,0.0,0
114,1.0,3.686062062206136e-43,3.686062062206136e-43,0
115,1.0,0.0,0.0,0
116,1.0,0.0,0.0,0
117,3.919032158512756e-06,0.9999960809678415,0.9999960809678415,1
118,3.864077150045723e-05,0.9999613592284995,0.9999613592284995,1
119,1.0,0.0,0.0,0
120,0.010444925974600092,0.9895550740253999,0.9895550740253999,1
121,1.0,5.240468786811765e-47,5.240468786811765e-47,0
122,1.0,6.2403350199774965e-83,6.2403350199774965e-83,0
123,1.0,0.0,0.0,0
124,1.0,0.0,0.0,0
125,0.013404481628206266,0.9865955183717937,0.9865955183717937,1
126,2.1768993391648755e-05,0.9999782310066083,0.9999782310066083,1
127,0.15810090186064216,0.8418990981393579,0.8418990981393579,1
128,5.3499078725608935e-05,0.9999465009212745,0.9999465009212745,1
129,0.0002485058734182084,0.9997514941265818,0.9997514941265818,1
130,6.792117290763432e-06,0.9999932078827092,0.9999932078827092,1
131,0.0003089211665215103,0.9996910788334784,0.9996910788334784,1
132,0.00024655095481184244,0.9997534490451881,0.9997534490451881,1
133,6.219825147201792e-07,0.9999993780174853,0.9999993780174853,1
134,2.7566174516231944e-05,0.9999724338254837,0.9999724338254837,1
135,1.0,0.0,0.0,0
136,0.8418794860691131,0.15812051393088686,0.15812051393088686,0
137,0.000322469354417848,0.9996775306455821,0.9996775306455821,1
138,1.0,0.0,0.0,0
139,1.0,0.0,0.0,0
140,1.0,0.0,0.0,0
141,0.0004993593911646537,0.9995006406088353,0.9995006406088353,1
142,1.0,0.0,0.0,0
143,1.0,0.0,0.0,0
144,0.999999895506865,1.0449313498707303e-07,1.0449313498707303e-07,0
145,0.0006395746568717002,0.9993604253431284,0.9993604253431284,1
146,1.0,0.0,0.0,0
147,8.343186987147309e-05,0.9999165681301286,0.9999165681301286,1
148,1.0,0.0,0.0,0
149,1.7395048589343258e-05,0.9999826049514107,0.9999826049514107,1
150,0.0005986290976105047,0.9994013709023896,0.9994013709023896,1
151,1.0,0.0,0.0,0
152,2.898476431886524e-06,0.9999971015235681,0.9999971015235681,1
153,1.0,0.0,0.0,0
154,1.0,0.0,0.0,0
155,1.0,0.0,0.0,0
156,0.0009379961875885119,0.9990620038124114,0.9990620038124114,1
157,0.0017133954265905191,0.9982866045734095,0.9982866045734095,1
158,1.0,4.2183244312580276e-22,4.2183244312580276e-22,0
159,0.9999999238372306,7.616276934247894e-08,7.616276934247894e-08,0
160,1.4000114672701966e-05,0.9999859998853273,0.9999859998853273,1
161,1.4372347488295195e-05,0.9999856276525116,0.9999856276525116,1
162,2.4277750514470044e-06,0.9999975722249484,0.9999975722249484,1
163,0.003739195383883779,0.9962608046161162,0.9962608046161162,1
164,1.774782529156405e-06,0.9999982252174708,0.9999982252174708,1
165,1.994826232717483e-08,0.9999999800517376,0.9999999800517376,1
166,3.271080663507423e-05,0.999967289193365,0.999967289193365,1
167,5.658853519959983e-06,0.99999434114648,0.99999434114648,1
168,1.6481706296343103e-08,0.9999999835182937,0.9999999835182937,1
169,2.0654983973111174e-08,0.999999979345016,0.999999979345016,1
170,1.0,4.836598869618531e-64,4.836598869618531e-64,0
171,1.3835978551930216e-06,0.9999986164021448,0.9999986164021448,1
172,0.0011726772981617963,0.9988273227018382,0.9988273227018382,1
173,6.702266687370054e-06,0.9999932977333127,0.9999932977333127,1
174,1.0,0.0,0.0,0
175,1.0,3.595052031362776e-249,3.595052031362776e-249,0
176,6.24481604602404e-06,0.9999937551839541,0.9999937551839541,1
177,1.0,0.0,0.0,0
178,0.014069217093736588,0.9859307829062633,0.9859307829062633,1
179,0.00040733756656205554,0.999592662433438,0.999592662433438,1
180,0.00011113477871925756,0.9998888652212807,0.9998888652212807,1
181,1.0,0.0,0.0,0
182,2.2205787534005567e-06,0.9999977794212466,0.9999977794212466,1
183,3.5423420428755394e-07,0.9999996457657958,0.9999996457657958,1
184,0.00012073831068918188,0.9998792616893108,0.9998792616893108,1
185,6.712940719202149e-07,0.9999993287059281,0.9999993287059281,1
186,1.663591374927107e-06,0.9999983364086251,0.9999983364086251,1
187,1.0,0.0,0.0,0
188,0.9999999999976985,2.301372402362869e-12,2.301372402362869e-12,0
189,0.014471694341763838,0.9855283056582362,0.9855283056582362,1
190,0.7893499986176333,0.21065000138236675,0.21065000138236675,0
191,1.0,0.0,0.0,0
192,1.4072897394116767e-05,0.9999859271026059,0.9999859271026059,1
193,4.746742974378515e-06,0.9999952532570257,0.9999952532570257,1
194,0.11943493744451417,0.8805650625554858,0.8805650625554858,1
195,3.041183671497329e-05,0.999969588163285,0.999969588163285,1
196,1.463621514351873e-06,0.9999985363784856,0.9999985363784856,1
197,2.902276459649616e-07,0.999999709772354,0.999999709772354,1
198,3.4493881339363747e-08,0.9999999655061187,0.9999999655061187,1
199,6.661413214403159e-09,0.9999999933385868,0.9999999933385868,1
200,1.0286238655922176e-07,0.9999998971376135,0.9999998971376135,1
201,1.0,0.0,0.0,0
202,5.225498376319083e-06,0.9999947745016238,0.9999947745016238,1
203,1.0,0.0,0.0,0
204,1.5077919816371894e-06,0.9999984922080183,0.9999984922080183,1
205,1.4232213150154604e-06,0.999998576778685,0.999998576778685,1
206,5.9487869849205355e-05,0.9999405121301508,0.9999405121301508,1
207,7.212832267536651e-05,0.9999278716773246,0.9999278716773246,1
208,3.5834139855533644e-05,0.9999641658601445,0.9999641658601445,1
209,1.0,0.0,0.0,0
210,1.0,0.0,0.0,0
211,0.0003522005890917886,0.9996477994109082,0.9996477994109082,1
212,0.0001571136754278261,0.9998428863245722,0.9998428863245722,1
213,0.00010325523266862373,0.9998967447673314,0.9998967447673314,1
214,6.153107276456163e-08,0.9999999384689272,0.9999999384689272,1
215,1.1550716596471426e-08,0.9999999884492834,0.9999999884492834,1
216,5.381097937476891e-05,0.9999461890206253,0.9999461890206253,1
217,1.0,0.0,0.0,0
218,1.0974683479622106e-07,0.9999998902531652,0.9999998902531652,1
219,4.332025008388233e-08,0.9999999566797498,0.9999999566797498,1
220,7.449975649683164e-09,0.9999999925500244,0.9999999925500244,1
221,5.802037332736169e-09,0.9999999941979626,0.9999999941979626,1
222,8.948735226502799e-09,0.9999999910512648,0.9999999910512648,1
223,5.501028033577957e-08,0.9999999449897197,0.9999999449897197,1
224,1.3396476057308927e-06,0.9999986603523943,0.9999986603523943,1
225,3.7764364546368013e-06,0.9999962235635453,0.9999962235635453,1
226,0.002844746976325364,0.9971552530236747,0.9971552530236747,1
227,1.1827180090674924e-05,0.9999881728199093,0.9999881728199093,1
228,2.7792966396793132e-06,0.9999972207033604,0.9999972207033604,1
229,1.0,0.0,0.0,0
230,1.0,0.0,0.0,0
231,1.0,0.0,0.0,0
232,0.0015992400264444161,0.9984007599735555,0.9984007599735555,1
233,9.647646832007959e-05,0.99990352353168,0.99990352353168,1
234,6.767009486787148e-07,0.9999993232990513,0.9999993232990513,1
235,6.259278838783286e-06,0.9999937407211611,0.9999937407211611,1
236,0.0010781056784505338,0.9989218943215494,0.9989218943215494,1
237,1.0,0.0,0.0,0
238,1.0,0.0,0.0,0
239,1.0,1.7972567874488445e-230,1.7972567874488445e-230,0
240,1.3633517321190188e-05,0.9999863664826788,0.9999863664826788,1
241,4.5757697552288266e-05,0.9999542423024478,0.9999542423024478,1
242,0.0001704247210260947,0.999829575278974,0.999829575278974,1
243,0.015658246894310526,0.9843417531056895,0.9843417531056895,1
244,1.3011279969096442e-06,0.9999986988720031,0.9999986988720031,1
245,1.0,0.0,0.0,0
246,1.0,1.8099751667121015e-51,1.8099751667121015e-51,0
247,5.107592530191501e-06,0.9999948924074699,0.9999948924074699,1
248,0.00023985998185329602,0.9997601400181466,0.9997601400181466,1
