day,cluster,cluster0,cluster1,cluster2,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.30684931506849317,0.41643835616438357,0.27671232876712326,24.694642857142863,9.535714285714283,56.812500000000014,0.4085624999999999,3.571428571428572,32.2080357142857,236.44464285714278,37.23032844387756,31.125191326530604,-10.228683035714285,1.1025164062500015,1.8875522959183662,5.7001323341836825,121.37631058673473,31.125191326530604,36.660331632653076,0.024910714285713263,1.355030803571429,12.566404336734701,51.412838010204084,86.59938775510201,-10.228683035714285,0.024910714285713263,69.51573660714283,2.2606260044642843,23.452473214285725,89.11739955357135,-88.43546875,1.1025164062500015,1.355030803571429,2.2606260044642843,2.8402233710937517,7.105644464285725,15.942302622767851,3.4983097098214295,1.8875522959183662,12.566404336734701,23.452473214285725,7.105644464285725,51.72729081632656,108.6799528061225,-5.823608418367354,5.7001323341836825,51.412838010204084,89.11739955357135,15.942302622767851,108.6799528061225,635.0496675701532,-58.79848373724484,121.37631058673473,86.59938775510201,-88.43546875,3.4983097098214295,-5.823608418367354,-58.79848373724484,1551.954435586735
0,1,0.30684931506849317,0.41643835616438357,0.27671232876712326,8.490131578947365,2.7703947368421056,86.05197368421051,2.9970789473684207,33.251250000000006,79.05723684210521,38.681578947368415,35.98904735110802,27.307602579639898,-1.6188292070637103,8.855837621191137,22.66793996710526,30.874972731994447,77.84521295013843,27.307602579639898,26.824978791551246,1.0984465893351816,10.631339179362882,51.559188322368406,49.36662872229919,39.10787569252077,-1.6188292070637103,1.0984465893351816,46.98315399930746,5.053336028393355,32.63153371710528,17.46518308518006,-52.014437326869825,8.855837621191137,10.631339179362882,5.053336028393355,20.751775467451502,94.6947853618421,37.89186324445984,-4.9953472299168995,22.66793996710526,51.559188322368406,32.63153371710528,94.6947853618421,830.6975806743428,340.3035731907895,-158.72621381578946,30.874972731994447,49.36662872229919,17.46518308518006,37.89186324445984,340.3035731907895,514.4170528912742,-121.98651142659278,77.84521295013843,39.10787569252077,-52.014437326869825,-4.9953472299168995,-158.72621381578946,-121.98651142659278,484.34505540166174
0,2,0.30684931506849317,0.41643835616438357,0.27671232876712326,17.43762376237624,7.336633663366339,73.21287128712869,1.081316831683168,16.006831683168322,59.47029702970299,135.4910891089109,43.53165375943535,39.318324674051546,1.694664248603077,2.2561197627683556,32.72816870895011,68.07270169591216,68.82825605332812,39.318324674051546,43.037568865797475,1.754280952847755,3.603685422997743,53.20558141358689,99.45029604940693,54.46101950789139,1.694664248603077,1.754280952847755,90.14785413194781,5.91125334771101,66.63521899813738,28.030184295657293,-163.01424174100572,2.2561197627683556,3.603685422997743,5.91125334771101,5.416631008528578,29.38096922164491,16.50255000490148,-4.513443711400847,32.72816870895011,53.20558141358689,66.63521899813738,29.38096922164491,369.130629565729,198.99870787177736,-32.90413714341731,68.07270169591216,99.45029604940693,28.030184295657293,16.50255000490148,198.99870787177736,702.4951573375154,-8.785809234388783,68.82825605332812,54.46101950789139,-163.01424174100572,-4.513443711400847,-32.90413714341731,-8.785809234388783,952.9069502989905
1,0,0.32420027874521445,0.3989534689514686,0.2768462523033168,24.048390301038214,9.0556133181621,57.15921894598596,0.3385131730165296,3.192943414867436,32.24351229271708,231.4323888051384,44.11959041185795,36.18271977946801,-12.745879472536956,1.0062152046654085,2.365567210655275,7.154959463910261,160.33929522874584,36.18271977946801,40.0783936602114,-2.896479382948724,0.9859139391885003,10.332620422155378,51.71774082653554,111.52233490407272,-12.745879472536956,-2.896479382948724,72.49627077198292,2.1048731554604885,20.005696213807017,89.96467486665208,-110.88430499394651,1.0062152046654085,0.9859139391885003,2.1048731554604885,2.2219145769454447,5.393417543894582,12.568850807272426,5.411857565253249,2.365567210655275,10.332620422155378,20.005696213807017,5.393417543894582,40.990017436650966,92.85443314282783,4.057402876857981,7.154959463910261,51.71774082653554,89.96467486665208,12.568850807272426,92.85443314282783,636.3941936890416,-88.26275726850704,160.33929522874584,111.52233490407272,-110.88430499394651,5.411857565253249,4.057402876857981,-88.26275726850704,1858.411143775149
1,1,0.32420027874521445,0.3989534689514686,0.2768462523033168,8.414016747462222,2.833804608737385,86.18014037959644,3.1249369543304044,34.46408811448909,80.01012621376069,37.758718841651486,34.27674775319628,25.956791792042367,-3.2004963888157687,9.51349985771779,24.724040499508742,27.080370991939606,79.00180421815121,25.956791792042367,25.461202905448168,-0.0698733121076146,10.931481840009438,50.719601545371134,43.48681427353455,41.184682909655336,-3.2004963888157687,-0.0698733121076146,42.10362385827625,4.775480354252909,28.196758704650637,12.256214758423088,-53.302069110958705,9.51349985771779,10.931481840009438,4.775480354252909,21.336475458566028,95.34554369995308,36.6831661487472,-1.7955189636947397,24.724040499508742,50.719601545371134,28.196758704650637,95.34554369995308,830.0285050552053,322.9675220952781,-137.26333374816016,27.080370991939606,43.48681427353455,12.256214758423088,36.6831661487472,322.9675220952781,490.2169189599846,-108.77819937875586,79.00180421815121,41.184682909655336,-53.302069110958705,-1.7955189636947397,-137.26333374816016,-108.77819937875586,493.26303653741036
1,2,0.32420027874521445,0.3989534689514686,0.2768462523033168,17.284178912976106,7.381261099811823,74.46090543705125,1.1422547576070916,16.57076186436628,61.001261956276856,130.24921786440083,48.10596218395655,42.388950783153064,-4.1657929254543955,3.0489192652417665,37.68233114707659,68.5958536938521,119.38099357533643,42.388950783153064,44.41919854942236,-4.8321947160343495,4.14307499482317,56.25459695829212,94.44885942919925,103.24333791561179,-4.1657929254543955,-4.8321947160343495,92.66289845311002,3.6677531562816146,50.20343697838324,6.31070049845774,-200.81813056647704,3.0489192652417665,4.14307499482317,3.6677531562816146,5.782184747987506,29.39877198725519,16.0873043940168,5.441098405488607,37.68233114707659,56.25459695829212,50.20343697838324,29.39877198725519,366.894426589785,185.1905251642333,54.432188322116936,68.5958536938521,94.44885942919925,6.31070049845774,16.0873043940168,185.1905251642333,650.6111657816631,59.675224172488306,119.38099357533643,103.24333791561179,-200.81813056647704,5.441098405488607,54.432188322116936,59.675224172488306,1336.7060432847516
2,0,0.3391643955191999,0.3744237366411551,0.28641186783964506,23.397067210520888,8.642779612008113,57.417226936411716,0.21863525452875215,2.704246293745,32.33106897532145,226.29286106464514,51.75896486272207,41.438607150200546,-14.964813745403776,0.7113129230691083,3.029090487149109,3.415906840010683,204.8738228591462,41.438607150200546,43.62328785433442,-4.907455926472313,0.8261679241443028,9.724331476469784,50.35822988285201,138.43265083944144,-14.964813745403776,-4.907455926472313,73.28333918595979,1.4850477339419446,15.897163434444163,85.97592423721561,-133.76048833085144,0.7113129230691083,0.8261679241443028,1.4850477339419446,1.1423468738956748,3.2230672628340336,7.960908181093785,4.5964158547985345,3.029090487149109,9.724331476469784,15.897163434444163,3.2230672628340336,32.0018618608851,75.78749243413199,11.010335197704531,3.415906840010683,50.35822988285201,85.97592423721561,7.960908181093785,75.78749243413199,643.127350062496,-148.93857175076042,204.8738228591462,138.43265083944144,-133.76048833085144,4.5964158547985345,11.010335197704531,-148.93857175076042,2223.6312070075855
2,1,0.3391643955191999,0.3744237366411551,0.28641186783964506,8.27358033312892,2.9550355528462804,86.41921805926762,3.320201004879581,36.436770535907435,81.44129549491632,36.16284159837487,32.45573008800784,24.755336965458213,-3.1980337743490135,10.573924989304837,30.298410762251322,24.41949907359241,75.82028580221369,24.755336965458213,23.87117509236651,-0.6562216372272486,11.250136963660852,49.30840707025175,36.03053315183881,43.37496405125412,-3.1980337743490135,-0.6562216372272486,37.726700076270696,4.33084903511894,21.82242075296697,7.70575761561271,-50.45655866881997,10.573924989304837,11.250136963660852,4.33084903511894,22.10372121761245,95.35092484565014,34.51328610699719,3.16557578581814,30.298410762251322,49.30840707025175,21.82242075296697,95.35092484565014,819.1905444619682,294.77055214020675,-94.63069852067977,24.41949907359241,36.03053315183881,7.70575761561271,34.51328610699719,294.77055214020675,447.82603501243887,-85.75505492399502,75.82028580221369,43.37496405125412,-50.45655866881997,3.16557578581814,-94.63069852067977,-85.75505492399502,467.3954273212256
2,2,0.3391643955191999,0.3744237366411551,0.28641186783964506,17.125963320837247,7.234701735691299,75.75048422987709,1.2407449947765188,16.802020719871695,62.15713869781459,125.21379514024349,51.436152973500604,44.365285935202046,-13.839216921168855,4.377622729135039,41.257459012169626,69.59601069611527,178.37888473536032,44.365285935202046,45.3637376215031,-13.556921066774201,4.576371656523858,57.749198607532705,90.03506119825336,151.76545531709323,-13.839216921168855,-13.556921066774201,91.72899696600753,0.4498246336683777,26.45559555630716,-13.047007220729947,-245.17533161462245,4.377622729135039,4.576371656523858,0.4498246336683777,6.561675437621396,28.700096079863062,15.32095900974046,25.23829325246667,41.257459012169626,57.749198607532705,26.45559555630716,28.700096079863062,353.2732235686255,166.2554186898701,160.95546724994176,69.59601069611527,90.03506119825336,-13.047007220729947,15.32095900974046,166.2554186898701,603.6101985857681,132.71027538569146,178.37888473536032,151.76545531709323,-245.17533161462245,25.23829325246667,160.95546724994176,132.71027538569146,1822.0298254122197
3,0,0.35710475825713794,0.3495597412174525,0.29333550052540946,22.564721991368764,8.19969679610002,57.89455984513648,0.04855914572940245,2.118647802710525,32.8356861400365,218.74779315718774,59.7960100214551,46.060002593366924,-19.323952875213124,-0.0005389599493776994,2.528363821649458,-7.033883010663251,260.0824106345441,46.060002593366924,46.50064047691478,-7.738134389073102,0.10782280912559476,8.00548529801923,46.20803425023833,163.35897504984982,-19.323952875213124,-7.738134389073102,75.04286199100608,0.4347106515591822,10.975187311636866,80.74453412979484,-176.10333236719188,-0.0005389599493776994,0.10782280912559476,0.4347106515591822,0.05026936270248649,0.5638004686074392,1.562041864459562,0.0525794112042462,2.528363821649458,8.00548529801923,10.975187311636866,0.5638004686074392,21.903973406280166,53.38219857189188,8.040533553963934,-7.033883010663251,46.20803425023833,80.74453412979484,1.562041864459562,53.38219857189188,654.1038758589523,-282.6261240659401,260.0824106345441,163.35897504984982,-176.10333236719188,0.0525794112042462,8.040533553963934,-282.6261240659401,2708.2481129756256
