day,cluster0,cluster1,cluster2,weighted_mean,max
0,0.9999539508872152,1.407404184734797e-08,4.603503874297025e-05,9.208415152778786e-05,0
1,0.9999594918265694,7.288301244209999e-09,4.050088512939639e-05,8.100905856003698e-05,0
2,0.0,0.9991203597052198,0.0008796402947802675,1.0008796402947804,1
3,0.0,0.9999999999992197,7.803081053780483e-13,1.0000000000007803,1
4,0.0,0.01560401405457306,0.9843959859454269,1.9843959859454268,2
5,0.0,2.7029685227458075e-11,0.9999999999729703,1.9999999999729703,2
6,0.0,0.7718858577301635,0.2281141422698366,1.2281141422698367,1
7,0.0,0.008785017673080582,0.9912149823269195,1.9912149823269196,2
8,0.0,0.9762163809617681,0.023783619038231982,1.0237836190382321,1
9,1.0141370660943913e-115,0.14011766870204634,0.8598823312979537,1.8598823312979538,2
10,0.9999967657738011,1.674357303113327e-14,3.234226182268391e-06,6.468452381280355e-06,0
11,0.9999976623124317,9.204165270809961e-14,2.3376874763722913e-06,4.675375044786235e-06,0
12,0.9999996902345499,1.171083631243989e-30,3.0976545012976715e-07,6.195309002595343e-07,0
13,0.9999994372770586,4.1163006011688097e-29,5.627229413167329e-07,1.1254458826334657e-06,0
14,0.9999975052108477,1.264423615077129e-17,2.494789152258025e-06,4.989578304528695e-06,0
15,0.0,0.9569251063772404,0.043074893622759625,1.0430748936227596,1
16,0.0,0.9952427847751235,0.00475721522487659,1.0047572152248767,1
17,0.0,9.379897596713274e-05,0.9999062010240329,1.999906201024033,2
18,0.9999973093647894,2.8285592001006173e-12,2.69063238200508e-06,5.38126759256936e-06,0
19,0.0,0.9847610901193511,0.015238909880648818,1.0152389098806487,1
20,0.0,0.9982841057707765,0.001715894229223495,1.0017158942292235,1
21,0.0,0.9999482536253901,5.17463746099676e-05,1.00005174637461,1
22,0.0,0.9531419345965008,0.046858065403499134,1.0468580654034991,1
23,0.9999971477062699,3.189526659195797e-15,2.8522937269534865e-06,5.704587457096499e-06,0
24,0.9999998534417724,9.269847183315485e-32,1.4655822749757707e-07,2.9311645499515415e-07,0
