day,cluster,cluster0,cluster1,cluster2,cluster3,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.2410958904109589,0.2410958904109589,0.23835616438356164,0.27945205479452057,9.906818181818181,2.027272727272728,83.49545454545452,0.26001136363636373,7.907499999999999,63.89772727272727,59.75568181818184,45.560862603305786,31.40901859504131,-3.0812190082644637,0.222393104338843,7.349073863636368,61.53558367768594,115.77825671487602,31.40901859504131,28.317438016528925,-1.7646487603305785,0.41086105371900833,12.968034090909088,63.645516528925626,65.45939049586777,-3.0812190082644637,-1.7646487603305785,67.64247933884293,-0.44173517561983444,3.5401249999999993,4.493057851239663,-88.44429235537183,0.222393104338843,0.41086105371900833,-0.44173517561983444,0.31039017032541333,3.6652423011363626,0.6903341167355364,1.6244970945247934,7.349073863636368,12.968034090909088,3.5401249999999993,3.6652423011363626,102.60781193181828,44.62805113636366,24.7295596590909,61.53558367768594,63.645516528925626,4.493057851239663,0.6903341167355364,44.62805113636366,613.667494834711,53.41864927685946,115.77825671487602,65.45939049586777,-88.44429235537183,1.6244970945247934,24.7295596590909,53.41864927685946,701.5490586260331
0,1,0.2410958904109589,0.2410958904109589,0.23835616438356164,0.27945205479452057,25.74318181818182,10.257954545454544,56.11022727272728,0.48551136363636355,3.4564772727272723,30.321590909090915,249.3829545454545,32.29268078512396,25.083406508264467,-17.686464359504136,0.9873279183884296,0.8744702995867769,-8.837636880165293,83.09800878099172,25.083406508264467,29.081300361570253,-8.662865444214873,1.3855385459710736,9.132920067148762,30.381135072314066,52.29894240702478,-17.686464359504136,-8.662865444214873,61.82796358471073,2.7145584065082655,18.369263300619835,69.83682463842973,-86.5907347623967,0.9873279183884296,1.3855385459710736,2.7145584065082655,3.546695318052687,8.682443278667353,20.041911686466946,-0.5699912835743752,0.8744702995867769,9.132920067148762,18.369263300619835,8.682443278667353,50.590961454028886,102.26200787706611,-12.89473050103305,-8.837636880165293,30.381135072314066,69.83682463842973,20.041911686466946,102.26200787706611,550.606011105372,-35.55951833677679,83.09800878099172,52.29894240702478,-86.5907347623967,-0.5699912835743752,-12.89473050103305,-35.55951833677679,1162.3216412706613
0,2,0.2410958904109589,0.2410958904109589,0.23835616438356164,0.27945205479452057,8.874712643678158,4.27586206896552,86.68965517241382,5.249091954022988,54.21471264367816,91.23103448275859,32.5528735632184,35.697291584093,29.62122869599682,-2.942445501387231,16.29816899194081,43.36969388294358,3.3987158145065397,100.35053243493192,29.62122869599682,27.198152992469282,0.0527388030122916,13.455271185097105,35.87047007530718,5.614772096710267,77.59012683313519,-2.942445501387231,0.0527388030122916,37.608973444312326,6.151541181133578,30.160761395164513,2.2069877130400397,-55.181292112564385,16.29816899194081,13.455271185097105,6.151541181133578,25.74196199154446,66.94544324481437,8.961500594530316,34.646511230017175,43.36969388294358,35.87047007530718,30.160761395164513,66.94544324481437,483.1120019289205,22.31332500990884,122.2654749636676,3.3987158145065397,5.614772096710267,2.2069877130400397,8.961500594530316,22.31332500990884,90.44053111375344,-20.536813317479186,100.35053243493192,77.59012683313519,-55.181292112564385,34.646511230017175,122.2654749636676,-20.536813317479186,544.3932963403355
0,3,0.2410958904109589,0.2410958904109589,0.23835616438356164,0.27945205479452057,18.707843137254905,7.617647058823529,68.7264705882353,0.8652058823529409,13.276176470588231,52.961764705882366,156.95784313725488,44.53248750480584,40.0663321799308,0.07106689734717174,0.439448385236447,14.986549596309105,70.77833910034606,68.26042868127644,40.0663321799308,46.75459054209918,12.035611303344863,1.893074798154556,41.33048904267588,121.96469434832747,33.30672433679357,0.07106689734717174,12.035611303344863,114.20586793540946,7.044259256055364,84.82817964244519,87.6654238754325,-176.24760957324114,0.439448385236447,1.893074798154556,7.044259256055364,4.337753124279124,20.067850198961924,14.681135322952708,-14.03622759515572,14.986549596309105,41.33048904267588,84.82817964244519,20.067850198961924,283.81095302768165,215.8285106689734,-138.9902396193772,70.77833910034606,121.96469434832747,87.6654238754325,14.681135322952708,215.8285106689734,812.9945184544404,-18.949455017301048,68.26042868127644,33.30672433679357,-176.24760957324114,-14.03622759515572,-138.9902396193772,-18.949455017301048,815.7224384851983
1,0,0.2588266079945783,0.25293099101901967,0.23369150500483252,0.25455089598156966,9.98955015871129,1.9743559796326362,83.34323794837582,0.18056981038553885,7.2547559771137635,63.58052565398614,60.95981233508055,46.495895662751025,30.71739701604962,-6.006203418592571,-0.0889752708605918,2.179094743750057,38.90151508874569,135.6799444357309,30.71739701604962,26.95253279625482,-2.446057385092979,0.00652811646414147,7.97655596565904,53.499296545453795,69.0401143945463,-6.006203418592571,-2.446057385092979,67.49884690739113,-0.3146374775847098,5.467170177354229,15.10779192988951,-110.73463789448451,-0.0889752708605918,0.00652811646414147,-0.3146374775847098,0.1318804895112125,2.072366789305487,0.4625012101684793,0.057705318463212606,2.179094743750057,7.97655596565904,5.467170177354229,2.072366789305487,83.32949611830807,54.78219188855371,-6.256501355784501,38.90151508874569,53.499296545453795,15.10779192988951,0.4625012101684793,54.78219188855371,672.1912554032156,-89.56764528457789,135.6799444357309,69.0401143945463,-110.73463789448451,0.057705318463212606,-6.256501355784501,-89.56764528457789,903.0264239970137
1,1,0.2588266079945783,0.25293099101901967,0.23369150500483252,0.25455089598156966,25.411518238426027,10.099510196014943,56.68491521402928,0.4739754985772178,3.30693443581414,31.02162612332503,245.24936407749388,33.14600892736044,25.4874649514134,-18.98501635014228,0.9876672585149063,0.26396000993314667,-14.735936882190346,99.33591653278016,25.4874649514134,29.237726793919112,-9.24846134718536,1.2748113628467834,8.233160851739449,26.99995173281063,58.9118368507823,-18.98501635014228,-9.24846134718536,64.59377079945627,2.599588644950568,19.93739805702589,79.48210744459853,-116.50232937577346,0.9876672585149063,1.2748113628467834,2.599588644950568,3.3411315948805482,8.28440126528595,19.115363263684195,0.5562570078100759,0.26396000993314667,8.233160851739449,19.93739805702589,8.28440126528595,46.02527437365402,97.03722430663365,-10.029239231359202,-14.735936882190346,26.99995173281063,79.48210744459853,19.115363263684195,97.03722430663365,552.2517006199564,-87.37109255178366,99.33591653278016,58.9118368507823,-116.50232937577346,0.5562570078100759,-10.029239231359202,-87.37109255178366,1389.8091927670337
1,2,0.2588266079945783,0.25293099101901967,0.23369150500483252,0.25455089598156966,9.192305620164971,4.523411671154882,86.40345109977739,5.487647180974643,55.51112035160428,90.33127466146512,34.73635481327019,37.85511769190887,31.122315145804208,-4.300340674943897,16.814831350273927,33.909714124011316,3.08733653566705,117.8349794511163,31.122315145804208,28.184443146698797,-1.1176208154389524,13.781313895791248,28.235309122797045,5.6689819401340555,90.03537588478432,-4.300340674943897,-1.1176208154389524,40.579163966286735,6.27687061489354,35.3574852456346,8.141790214073763,-72.37950695131832,16.814831350273927,13.781313895791248,6.27687061489354,25.838899405293848,59.739281271785046,10.752883165248084,38.392281113723364,33.909714124011316,28.235309122797045,35.3574852456346,59.739281271785046,430.10944580227863,42.42337352458711,72.20496681612171,3.08733653566705,5.6689819401340555,8.141790214073763,10.752883165248084,42.42337352458711,106.85461777076061,-41.62537257966056,117.8349794511163,90.03537588478432,-72.37950695131832,38.392281113723364,72.20496681612171,-41.62537257966056,696.2459262854542
1,3,0.2588266079945783,0.25293099101901967,0.23369150500483252,0.25455089598156966,18.76744741678213,7.807024764065358,68.459988470981,0.8785809157446975,14.479016518286636,54.40691862286298,158.0298796990757,46.803025149716206,41.4619703484803,-1.7833751934728084,-0.37174495472073593,15.529337926783668,75.30361331303433,77.14969482670772,41.4619703484803,48.161533411942955,13.961346099541734,1.1551949951160114,43.22922816849313,128.4243269123166,28.477118130142088,-1.7833751934728084,13.961346099541734,124.39315103546163,7.913386285829981,100.25583157307705,107.71628009355449,-205.89247912026948,-0.37174495472073593,1.1551949951160114,7.913386285829981,3.578377770381295,18.57652489448757,14.037898356252136,-19.881417465774746,15.529337926783668,43.22922816849313,100.25583157307705,18.57652489448757,297.0096238170964,224.84324223518468,-186.5751163928489,75.30361331303433,128.4243269123166,107.71628009355449,14.037898356252136,224.84324223518468,842.6543080473582,-100.90310579534795,77.14969482670772,28.477118130142088,-205.89247912026948,-19.881417465774746,-186.5751163928489,-100.90310579534795,932.626369152211
2,0,0.27696532299801313,0.2614279956725252,0.22794914262876695,0.23365753870069456,10.03467028989544,1.9824083037852018,83.11280588781885,0.1586969679889812,7.222627310397196,63.67008397494876,62.44967096750512,47.2966866936404,30.591051723518596,-8.48099999874049,-0.21406551382566372,-1.0868423277081012,26.12644512877667,152.44594656851098,30.591051723518596,26.364960126092377,-3.7981193384556025,-0.11493425009365493,5.658213388262787,47.534733559635356,74.84393224275476,-8.48099999874049,-3.7981193384556025,66.52850620462029,-0.3581732711491713,5.214171987701842,20.810612448847092,-127.1339191100608,-0.21406551382566372,-0.11493425009365493,-0.3581732711491713,0.09894237008097204,1.656890644524697,0.4208673088735108,-0.6206168353062419,-1.0868423277081012,5.658213388262787,5.214171987701842,1.656890644524697,78.92493518641696,61.40855144563392,-29.420332674054524,26.12644512877667,47.534733559635356,20.810612448847092,0.4208673088735108,61.40855144563392,697.8926038147957,-181.8265102579547,152.44594656851098,74.84393224275476,-127.1339191100608,-0.6206168353062419,-29.420332674054524,-181.8265102579547,1093.005804361262
2,1,0.27696532299801313,0.2614279956725252,0.22794914262876695,0.23365753870069456,25.306910395101838,10.10358606699966,56.98228795628062,0.4707191774586895,3.1706676356343744,31.55330760283358,242.6499132130452,33.7944485480651,25.841154771097667,-19.335266742234317,1.01057951352207,0.6790549621570771,-16.24966482098592,105.49596077655305,25.841154771097667,29.544275160421485,-9.29680867400605,1.2834057550532612,8.452387038575788,27.68780448237535,59.12682951989171,-19.335266742234317,-9.29680867400605,66.5245343152317,2.4933876679166245,19.047959802761877,81.97379865812881,-132.7668411212803,1.01057951352207,1.2834057550532612,2.4933876679166245,3.326228671996128,8.307709486970895,18.973403452916955,0.9279955265729617,0.6790549621570771,8.452387038575788,19.047959802761877,8.307709486970895,43.352902176685035,94.60794332464386,-8.858923263053793,-16.24966482098592,27.68780448237535,81.97379865812881,18.973403452916955,94.60794332464386,564.0772072554014,-123.38226957128363,105.49596077655305,59.12682951989171,-132.7668411212803,0.9279955265729617,-8.858923263053793,-123.38226957128363,1516.1911879380912
