day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
0,0.9953114121836515,1.446587968583829e-78,0.004684644084671301,3.94373167715164e-06,6.968789530101899e-25,0.009381119364374057,0
1,0.9988838670346843,2.2123139257169408e-67,0.0011103332167492882,5.799748566358083e-06,1.5693486229399938e-31,0.002238065679197651,0
2,0.0,0.0,0.0,0.02542052533063459,0.9745794746693653,3.974579474669365,4
3,0.0,0.0,0.0,2.1469257201786658e-07,0.9999997853074281,3.9999997853074283,4
4,0.0,0.0,3.853146409165503e-74,1.0,2.413002263424507e-38,3.0,3
5,0.0,9.968432149234334e-282,2.8283234691624914e-10,0.9999999997171676,2.691034894015229e-134,2.9999999997171676,3
6,0.0,9.476891790664417e-266,6.911761157197117e-07,0.9999993088237789,1.0540108425276516e-13,2.9999993088239894,3
7,0.0,0.0,1.1209896026859489e-70,1.0,2.96229014944323e-29,3.0,3
8,0.0,0.0,2.3276462823637022e-133,0.9999999988091406,1.190859444398132e-09,3.0000000011908594,3
9,0.0,7.410934296338818e-58,0.9565982653174587,0.04340173468254124,1.175362449904575e-21,2.0434017346825413,2
10,0.9999914657988955,4.5551730810550075e-82,6.480892363995972e-13,8.534200456501599e-06,2.92110791974215e-103,2.5602602665683268e-05,0
11,0.9999929956128776,5.464657609196203e-65,2.1440998434070163e-12,7.004384978346591e-06,1.0695889720791343e-94,2.1013159223239462e-05,0
12,0.9999982420035569,5.26863768533021e-164,2.3846856597392365e-28,1.757996443071467e-06,4.892729321366956e-252,5.2739893292144005e-06,0
13,0.9999964815103504,2.1527747197119373e-162,9.553655435369054e-27,3.518489649707012e-06,9.80595843582041e-256,1.0555468949121036e-05,0
14,0.999992318411094,6.527560649323211e-108,5.785519515965447e-16,7.681588905435632e-06,1.3764905210188917e-137,2.3044766717464e-05,0
15,0.0,2.4254842993796496e-38,0.9997736282543583,0.0002256731866294273,6.985590121666562e-07,2.000227070304654,2
16,0.0,5.715478690437104e-274,0.2789681639123161,0.022721689023044177,0.6983101470646398,3.4193419831523237,4
17,0.0,1.5094926530541556e-241,0.0006713841533158001,0.9993286158466842,3.2588437840713746e-50,2.999328615846684,3
18,0.9999928006277633,1.4213017814992054e-58,1.3910981504149177e-10,7.199233126824258e-06,1.1074373881958028e-71,2.1597977600102856e-05,0
19,0.0,1.2402307470767656e-247,1.3778047540878365e-11,0.9512348896435399,0.04876511034268207,3.048765110328904,3
20,0.0,0.0,0.0026644646007910164,0.9973355353992089,1.0590083126514495e-21,2.9973355353992086,3
21,0.0,0.0,4.1133701604336345e-15,0.0022009370501881536,0.9977990629498078,3.9977990629498037,4
22,0.0,7.00081193449294e-54,0.9987988058852447,0.0011260173103562294,7.517680439906277e-05,2.0012763709191543,2
23,0.9999928630482018,2.133644530200443e-95,1.6276246142531208e-13,7.1369516353964085e-06,1.5935450130083211e-102,2.141085523171415e-05,0
24,0.9999988197393427,5.662910406109002e-202,4.314573067088035e-30,1.1802606572473718e-06,4.9936868820156266e-251,3.540781971742115e-06,0
25,0.9999967577717375,8.087849415512538e-70,2.2270984515393012e-10,3.2420055525165396e-06,2.187796728943703e-60,9.726462077239927e-06,0
26,0.0,3.6828659420174885e-42,0.9997216684946058,0.00027832044589702295,1.105949717342863e-08,2.0002783425648913,2
27,0.0,3.1912892508154445e-62,0.9915661812757295,0.002413327935390414,0.006020490788880163,2.014454309513151,2
28,0.0,2.195424036464136e-34,0.999823950305543,0.0001760224641178169,2.7230339180400573e-08,2.0001760769247965,2
29,0.0,1.5087675414720607e-70,7.126140077893176e-07,0.9999992873859923,3.499741574307823e-39,2.9999992873859926,3
30,0.0,1.0596431230997817e-302,1.545455618157437e-181,0.012297910041659699,0.9877020899583403,3.9877020899583404,4
31,0.0,0.0,1.2093770063579155e-58,0.004298725450624404,0.9957012745493755,3.995701274549375,4
32,0.0,1.7186274966972562e-247,0.8677468930825283,0.1322531069170731,3.9859729213584856e-13,2.13225310691787,2
33,0.0,3.406786573033944e-29,0.9996397091998735,0.0003602908001265347,3.2005242625157142e-24,2.000360290800127,2
34,0.0,1.1622437332842604e-59,0.9933397369252598,0.002634891328447186,0.004025371746292925,2.0106856348210327,2
35,0.0,3.7510880833349757e-87,6.836866903021419e-13,0.9999999999993163,2.460015406383754e-63,2.9999999999993165,3
36,0.0,1.818289237254168e-137,0.0,0.0005182774995150163,0.999481722500485,3.999481722500485,4
