day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
0,0.8809570608930558,0.0,2.4935879159741004e-05,0.0,0.11901800322778437,1.784357768048024e-22,1.2459562736503224e-30,0.476121884669457,0
1,0.9579055313484252,0.0,4.113278258394972e-05,0.0,0.04205333586899089,2.549735022840207e-26,6.22183036769659e-30,0.16829560904113147,0
2,0.0,0.0,0.011011967842103463,0.0,0.0,0.9889880321578965,0.0,4.96696409647369,5
3,0.0,0.0,5.057358201675521e-09,0.0,0.0,0.9999999949426418,0.0,4.999999984827925,5
4,0.0,0.0,0.9999999988945941,0.0,2.3963546816995833e-120,1.1054059594512794e-09,0.0,2.000000003316218,2
5,0.0,0.0,0.9999825999813018,0.0,1.740001869822854e-05,4.916044612531522e-46,1.7724377397955276e-50,2.0000348000373966,2
6,0.0,0.0,0.9999999299693438,0.0,1.131577119473968e-08,5.871488491087033e-08,1.2807509986742128e-144,2.0000001987761973,2
7,0.0,0.0,0.9999999987785964,0.0,1.2759888210203274e-112,1.2214036676918918e-09,0.0,2.000000003664211,2
8,0.0,0.0,0.9705215578885602,0.0,5.050981269311562e-212,0.0294784421114397,0.0,2.0884353263343187,2
9,0.0,0.0,0.00227570895013256,0.0,0.9977242910498668,6.207984262097975e-16,2.928469688097325e-131,3.9954485820997356,4
10,0.9999383028182844,0.0,6.152082575602587e-05,0.0,1.7635595957530968e-07,3.282552541999707e-43,2.2964930027893215e-63,0.000123747075350353,0
11,0.9999422341695324,0.0,5.76385199716002e-05,0.0,1.2731049600025987e-07,1.2729546100762957e-36,1.3059210452691375e-25,0.00011578628192720144,0
12,0.9999570937531057,0.0,4.290624689304217e-05,0.0,1.2261064304905395e-15,2.6772402744968245e-92,3.444562538675492e-206,8.581249379098877e-05,0
13,0.9999313496349385,0.0,6.865036504037416e-05,0.0,2.1216126858546824e-14,3.5781441277559415e-101,3.3033521910185608e-68,0.00013730073016561284,0
14,0.9999357212052035,0.0,6.427300747006601e-05,0.0,5.787326576935785e-09,2.2901517002445465e-60,1.1196384303853026e-58,0.00012856916424643978,0
15,0.0,0.0,0.0001258069772911939,0.0,0.9998709236941599,3.2693285491171064e-06,9.447163103255769e-129,3.9997516553739674,4
16,0.0,0.0,0.00960519050528306,0.0,0.04522476490084587,0.9451700445938711,1.426454185465044e-215,4.9259596635833045,5
