datetime,tempmax,tempmin,humidity,precip,precipcover,cloudcover,solarradiation
2022-01-01,11.6,8,97.9,0.054,4.17,88.9,490.5
2022-01-02,11.6,9.6,95.8,0,0,83.9,489.1
2022-01-03,13.2,10.5,97.9,0.056,8.33,85.1,490.3
2022-01-04,13.7,10.2,96.1,0.108,8.33,85.5,522.9
2022-01-05,14.6,8.7,92.3,1.628,4.17,88.7,452.1
2022-01-06,9.1,5.8,73.7,4.504,8.33,64.6,473
2022-01-07,10.2,2.3,64.4,0.292,8.33,0,510.5
2022-01-08,8.1,-0.4,81.4,0.728,8.33,0,602.8
2022-01-09,6.3,0.4,87.5,3.247,8.33,65.6,500.8
2022-01-10,9.2,5.1,62.9,0.001,4.17,30.6,509.5
2022-01-11,10.5,7.1,45.7,0.147,8.33,4.4,511.9
2022-01-12,9.2,5.5,48.1,0,0,0,761
2022-01-13,11.1,4.9,41.3,0.145,4.17,0,514.7
2022-01-14,11.1,-0.8,63.8,1.454,4.17,0,513
2022-01-15,10.8,-1.2,90.2,0,0,0.1,513.1
2022-01-16,11.6,2,92.6,0,0,62.7,490.3
2022-01-17,9.6,0.8,97.4,0,0,28.8,512.9
2022-01-18,12,2.2,91.3,0.108,4.17,16,520.3
2022-01-19,10.7,-1.8,87.3,0,0,15.4,521.8
2022-01-20,10.7,5.3,95.7,2.82,12.5,70.8,532.8
2022-01-21,10.3,2.9,81.9,0,0,32.8,495.7
2022-01-22,8.4,-1.9,79.1,0,0,0,600
2022-01-23,8.4,-2,88.9,0,0,6.9,761
2022-01-24,9.8,-2.1,90.5,0,0,6.4,761
2022-01-25,9.9,-0.5,81.3,0,0,4.9,761
2022-01-26,10.5,2.6,88.9,0,0,88.5,761
2022-01-27,11.1,1.6,93.1,0,0,77.4,761
2022-01-28,14.8,4.4,76,0,0,45,700
2022-01-29,11.2,-1.1,70.8,0,0,9.1,761
2022-01-30,12.6,3.1,88.8,0,0,81.1,761
2022-01-31,10.5,7.4,92.6,0,0,74.3,761
2022-02-01,14.3,3.2,43.2,0,0,0,761
2022-02-02,13.5,-1.2,79.6,0,0,0.2,761
2022-02-03,14.3,2.6,92.2,0,0,30.9,647.3
2022-02-04,12.6,8.5,95.2,0.055,4.17,84.1,435.2
2022-02-05,14.5,6.6,93.7,0.561,4.17,67.5,485.9
2022-02-06,13.9,1.2,91.4,0,0,17.2,520.6
2022-02-07,15.3,5.4,67.7,0.199,4.17,47.9,509.1
2022-02-08,13.4,-0.7,59.9,0,0,0,526.5
2022-02-09,14.9,-1,83.9,0,0,19.9,525.8
2022-02-10,14.6,3.9,85.3,0,0,36.4,519.9
2022-02-11,13.4,1.8,88.3,0,0,47.9,507.3
2022-02-12,11.5,7.1,66.7,0,0,31,539.3
2022-02-13,13.2,0.8,69.3,0,0,33.9,511.2
2022-02-14,10.5,7.4,96.4,2.654,8.33,84.6,434.3
2022-02-15,10.8,7.1,95.4,9.548,16.67,84.2,430
2022-02-16,12.5,4.7,90.6,0.108,8.33,38.4,543.5
2022-02-17,13.8,6.2,93,0.054,4.17,70.4,467
2022-02-18,13.7,3.8,93.8,0,0,61.2,469.8
2022-02-19,15.6,10.2,92.7,0,0,80.8,461.2
2022-02-20,17.2,8.4,87.5,0,0,35.7,558.5
2022-02-21,13.6,4,90.8,2.08,8.33,73.2,439.1
2022-02-22,17.2,1.2,60.2,0,0,0,540.5
2022-02-23,16.5,0.9,68.7,0.038,4.17,0,538.5
2022-02-24,16.9,1.5,78.1,0,0,5.8,515
2022-02-25,13.5,7.3,95,0.653,8.33,79.9,463.3
2022-02-26,10.7,5.8,58.7,5.525,4.17,53.3,524.2
