day,cluster,cluster0,cluster1,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.4986301369863014,0.5013698630136987,19.41923076923076,11.534615384615376,83.18076923076922,3.196549450549449,4.991208791208791,52.733516483516446,472.27307692307704,59.779025781910406,41.74686179205409,-48.37177303465764,-11.240740236686388,-12.04744632290786,-117.87542476754021,7.39755071851226,41.74686179205409,36.07512045646662,-24.814114539306846,-1.3247877007607785,-2.306206677937447,-52.18764370245142,-4.622639475908707,-48.37177303465764,-24.814114539306846,160.61287193575652,32.317531994928146,28.17802324598479,231.98306213017756,30.81783389687238,-11.240740236686388,-1.3247877007607785,32.317531994928146,85.00993707173042,25.31903059956527,66.65940081511893,-47.47900883347417,-12.04744632290786,-2.306206677937447,28.17802324598479,25.31903059956527,27.17437875860406,67.08583860644852,-24.89603338968725,-117.87542476754021,-52.18764370245142,231.98306213017756,66.65940081511893,67.08583860644852,648.419371150827,-38.874427303465694,7.39755071851226,-4.622639475908707,30.81783389687238,-47.47900883347417,-24.89603338968725,-38.874427303465694,2327.4917476754003
0,1,0.4986301369863014,0.5013698630136987,24.91912568306011,12.069945355191255,65.9289617486339,0.39478142076502726,1.2981420765027318,12.862295081967206,568.3513661202185,83.43225715906713,66.45450924184057,-40.28705664546566,1.1436030875809968,-1.5609480725014184,-32.18507121741468,-127.38284033563275,66.45450924184057,61.88538087133087,-27.1827361223088,1.1028021738481297,0.8361845979276765,-4.131570366388966,-94.49872943354549,-40.28705664546566,-27.1827361223088,193.36588252859138,5.010493215682762,6.150966377019321,123.67628325718891,194.8347418555346,1.1436030875809968,1.1028021738481297,5.010493215682762,11.13391108883514,2.9961256594702754,4.952746949744692,-6.976381122159526,-1.5609480725014184,0.8361845979276765,6.150966377019321,2.9961256594702754,6.569383433366168,8.868186777747916,-9.977112215951518,-32.18507121741468,-4.131570366388966,123.67628325718891,4.952746949744692,8.868186777747916,276.58049090746255,266.8254886679209,-127.38284033563275,-94.49872943354549,194.8347418555346,-6.976381122159526,-9.977112215951518,266.8254886679209,4411.0326620681435
1,0,0.43456450642625416,0.5654354935737459,18.62770764160495,11.301248556095295,85.77229113395694,4.023756383588338,5.728316071755433,58.20580691018981,474.34999090309344,47.583494613786954,34.33668450390361,-35.44497931390038,-6.070946349167277,-10.839809954365869,-96.98403589011056,28.64596602028048,34.33668450390361,30.45316309653188,-19.457117400794658,1.0438580446649224,-2.5335792924555474,-46.04239960728946,9.066916192455302,-35.44497931390038,-19.457117400794658,111.71763583797917,26.087013961084708,22.04314746202339,157.98903320485363,37.83059017799065,-6.070946349167277,1.0438580446649224,26.087013961084708,105.8972735397053,27.872920644126243,44.97646345241574,-33.85446387102242,-10.839809954365869,-2.5335792924555474,22.04314746202339,27.872920644126243,28.341843429065126,50.13201748660768,-18.205190952397416,-96.98403589011056,-46.04239960728946,157.98903320485363,44.97646345241574,50.13201748660768,496.40900669699676,-85.41447080389096,28.64596602028048,9.066916192455302,37.83059017799065,-33.85446387102242,-18.205190952397416,-85.41447080389096,2799.193057045882
1,1,0.43456450642625416,0.5654354935737459,24.904293967537967,12.188644462856498,65.8919362835791,0.07648209378118706,1.1500756485414587,13.174110937188372,555.8691831667692,86.37926004645817,68.23144536367907,-38.86369019633939,-0.27933498086694464,-0.17009451466166553,-32.07689464490801,-117.15993936039918,68.23144536367907,63.0662413862101,-27.448285004325434,-0.13362312533970966,1.5462963577463797,-6.370803242002443,-103.5323518926503,-38.86369019633939,-27.448285004325434,187.0709335367895,0.16203233093962569,1.978133299442104,107.89558516044242,142.2825531979161,-0.27933498086694464,-0.13362312533970966,0.16203233093962569,0.15114018528742887,0.2841397392412883,0.7545078502908716,-1.2205956656761459,-0.17009451466166553,1.5462963577463797,1.978133299442104,0.2841397392412883,4.928293746777468,4.004772043295547,-11.503414776872964,-32.07689464490801,-6.370803242002443,107.89558516044242,0.7545078502908716,4.004772043295547,257.17147431571595,169.51269078667363,-117.15993936039918,-103.5323518926503,142.2825531979161,-1.2205956656761459,-11.503414776872964,169.51269078667363,5005.943341091399
2,0,0.32213541052755673,0.6778645894724432,17.168716687558792,10.783708175789933,88.72780279035193,5.468965346302073,7.292958821623769,66.34898427643569,473.0372715264188,34.012045174104266,25.110584052253188,-25.791210788775775,-0.01978902209803923,-7.2200967388478094,-64.89327774918722,14.414570038270552,25.110584052253188,23.042057612348895,-14.30914813499877,4.351319912521166,-1.6230016530165612,-32.024099972039004,2.0649870258384118,-25.791210788775775,-14.30914813499877,75.39214832076061,18.40673033877843,13.844897937996938,98.11316987428675,-6.66304661387039,-0.01978902209803923,4.351319912521166,18.40673033877843,134.9988553997695,28.991403828486746,15.378789352952525,-35.754369754241026,-7.2200967388478094,-1.6230016530165612,13.844897937996938,28.991403828486746,26.91874877679285,21.17135421728071,-12.56563071522824,-64.89327774918722,-32.024099972039004,98.11316987428675,15.378789352952525,21.17135421728071,322.1479726450748,-105.41393238790386,14.414570038270552,2.0649870258384118,-6.66304661387039,-35.754369754241026,-12.56563071522824,-105.41393238790386,2491.182093975052
2,1,0.32213541052755673,0.6778645894724432,24.556616452474746,12.28740897189361,67.78472634983706,0.04437464463468198,1.1658613927700272,16.773158769225095,542.9724249866612,83.09205801879718,65.43450373341354,-38.2734350479697,-0.18635244786612257,0.5056198106092344,-42.56244719929651,-67.18106398666521,65.43450373341354,60.73608559197074,-24.819515099596376,-0.15218093535543686,1.9321421038617907,-10.083524959811037,-89.18333236372453,-38.2734350479697,-24.819515099596376,193.8088683619145,-0.03966742495260044,0.8581903080865646,134.71111940959463,30.46056612713649,-0.18635244786612257,-0.15218093535543686,-0.03966742495260044,0.0289863224080633,0.1723516788770581,-0.043676432917975364,-0.1630075602047874,0.5056198106092344,1.9321421038617907,0.8581903080865646,0.1723516788770581,4.992372076679597,2.300312240188481,-12.546124264147355,-42.56244719929651,-10.083524959811037,134.71111940959463,-0.043676432917975364,2.300312240188481,323.0048905485499,-77.06804577042232,-67.18106398666521,-89.18333236372453,30.46056612713649,-0.1630075602047874,-12.546124264147355,-77.06804577042232,5619.643714663298
3,0,0.25758694188371994,0.7424130581162794,16.242941278094563,10.255296183534114,89.4980183646837,6.869330765891659,8.721290071807807,67.90854454854963,475.35787169479903,29.4965266628168,21.933359753021644,-18.774285546854365,6.242748770456865,-2.896625011249724,-56.44443395856043,16.669193241712186,21.933359753021644,21.10047034234403,-4.801690021603635,8.791536240115125,0.9501519933287393,-18.943263804753737,-11.205418130833749,-18.774285546854365,-4.801690021603635,83.5522575232109,16.7973414225313,12.399145243957305,127.54322202489001,-97.60958679133476,6.242748770456865,8.791536240115125,16.7973414225313,159.0952134814797,26.341556489450568,6.7182846146335375,-57.93015416162883,-2.896625011249724,0.9501519933287393,12.399145243957305,26.341556489450568,21.48433354839166,17.88003783064498,-22.244758138646816,-56.44443395856043,-18.943263804753737,127.54322202489001,6.7182846146335375,17.88003783064498,378.35384212736756,-278.92215058157115,16.669193241712186,-11.205418130833749,-97.60958679133476,-57.93015416162883,-22.244758138646816,-278.92215058157115,2359.890073427573
3,1,0.25758694188371994,0.7424130581162794,24.235487995589377,12.340008323462044,69.33837094960937,0.03014156639872173,1.2030041628638193,20.542382958475624,536.0868195880863,79.99047593557962,62.006507029335395,-43.62757223161544,-0.051915061914097504,0.498217137082452,-57.64662895204271,-33.928276485261,62.006507029335395,57.67803934656701,-25.641479322968916,-0.027781031558941283,2.057651016908165,-13.020663182681893,-78.32574094309503,-43.62757223161544,-25.641479322968916,205.00377589184887,0.022704245512053432,1.1900407505283066,180.73615734186325,-56.65150584053283,-0.051915061914097504,-0.027781031558941283,0.022704245512053432,0.009927206356845662,0.12844887381967357,-0.04291979591739917,-0.16112523520365457,0.498217137082452,2.057651016908165,1.1900407505283066,0.12844887381967357,5.266197065309215,2.6961054935944047,-17.614672184786404,-57.64662895204271,-13.020663182681893,180.73615734186325,-0.04291979591739917,2.6961054935944047,448.41506009626266,-298.1520098670873,-33.928276485261,-78.32574094309503,-56.65150584053283,-0.16112523520365457,-17.614672184786404,-298.1520098670873,5881.769637661724
4,0,0.2328787218673058,0.7671212781326944,16.21250019172421,9.9690085325383,88.93891148200156,7.627400275366484,9.500490416600249,64.45735250326155,477.91849736101204,32.9851789138648,23.820993412590944,-22.306532870119227,7.186936140326317,-3.4956085637269854,-61.742017555342535,9.782113297584113,23.820993412590944,23.427110273381302,-3.9615257096760734,11.785773206773865,2.173211458038303,-9.570567428314005,-30.153091215776623,-22.306532870119227,-3.9615257096760734,95.45284974182874,22.461637473633118,17.057790055360748,163.88985990176178,-138.70484555161374,7.186936140326317,11.785773206773865,22.461637473633118,170.0119618809176,23.09063117096712,32.1011598189682,-81.82532242122389,-3.4956085637269854,2.173211458038303,17.057790055360748,23.09063117096712,16.82696423748393,38.94808487998225,-33.66896409932924,-61.742017555342535,-9.570567428314005,163.88985990176178,32.1011598189682,38.94808487998225,515.6996132200567,-447.6042228030208,9.782113297584113,-30.153091215776623,-138.70484555161374,-81.82532242122389,-33.66896409932924,-447.6042228030208,2743.40015075054
4,1,0.2328787218673058,0.7671212781326944,23.987297094191618,12.359771529695834,70.15742410055384,0.020294274720792878,1.208615116611763,23.115695406711957,533.3534585172715,79.15298558669068,59.96778831239944,-47.91667848066154,0.010666643804158544,0.6039340332375439,-75.52251681685581,-9.577259027049347,59.96778831239944,55.545948431215955,-25.245502507291427,0.028304540729915784,2.3600136461819456,-17.65557365509765,-69.71492675874876,-47.91667848066154,-25.245502507291427,216.647011604127,-0.05750281016134803,1.6536856153229522,225.21205464197357,-108.23302090648814,0.010666643804158544,0.028304540729915784,-0.05750281016134803,0.004049307300840131,0.08856857620540699,-0.012228077420681579,-0.10240202841951289,0.6039340332375439,2.3600136461819456,1.6536856153229522,0.08856857620540699,5.281846629603889,5.73400206765246,-21.071092414221287,-75.52251681685581,-17.65557365509765,225.21205464197357,-0.012228077420681579,5.73400206765246,565.7392304169724,-429.7026967771682,-9.577259027049347,-69.71492675874876,-108.23302090648814,-0.10240202841951289,-21.071092414221287,-429.7026967771682,5855.648889898312
