day,cluster0,cluster1,cluster2,weighted_mean,max
0,4.1283828624491443e-81,0.07147446259835488,0.9285255374016452,1.9285255374016455,2
1,2.659135243299196e-82,1.9353748754205838e-06,0.9999980646251245,1.9999980646251245,2
2,2.3989303285622706e-87,0.928375402201906,0.07162459779809408,1.071624597798094,1
3,3.24107631188866e-67,0.9999999999448458,5.51542891242784e-11,1.0000000000551543,1
4,0.0,1.0,0.0,1.0,1
5,0.0,1.0,0.0,1.0,1
6,2.6150464370707688e-78,1.0,3.7713623049434805e-154,1.0,1
7,2.2044300817777576e-63,1.0,0.0,1.0,1
8,0.0,1.0,0.0,1.0,1
9,4.765361675416805e-71,0.02491130815623097,0.975088691843769,1.975088691843769,2
10,2.928600352253589e-72,1.0,8.122126946225622e-29,1.0,1
11,0.9999999987946292,4.73611352406305e-10,7.317594383053568e-10,1.9371302290170186e-09,0
12,4.948464413709408e-65,1.0,3.554678164433681e-36,1.0,1
13,4.153609591209586e-235,1.0,0.0,1.0,1
14,2.126238134158942e-69,1.2026228097666364e-06,0.9999987973771902,1.9999987973771902,2
15,5.575140281748967e-79,1.8438822540175127e-05,0.9999815611774598,1.9999815611774598,2
16,3.278106881763467e-70,9.184341918387274e-07,0.9999990815658082,1.9999990815658082,2
17,1.9837479508469766e-65,0.9999999999999928,7.172973869045941e-15,1.000000000000007,1
18,8.873867372523593e-64,4.013970232993849e-06,0.999995986029767,1.9999959860297671,2
19,0.0,1.0,0.0,1.0,1
20,2.9376111913221887e-78,1.14878637005313e-05,0.9999885121362995,1.9999885121362995,2
21,1.7454381280781073e-29,2.7292267368920435e-06,0.9999972707732631,1.999997270773263,2
22,0.999999997435185,9.682094785333591e-11,2.46799404067702e-09,5.032809029207376e-09,0
23,0.9999999952059261,1.6384065173668875e-10,4.630233324374148e-09,9.424307300484985e-09,0
24,0.9999999925736596,7.237666659629933e-10,6.7025737030660734e-09,1.4128914072095141e-08,0
25,0.9999999999927305,7.26783322090154e-12,1.7121882000005653e-15,7.271257597301541e-12,0
26,0.9999999999608654,3.909621808741393e-11,3.831190695232745e-14,3.9172841901318585e-11,0
27,0.9919669358763957,0.0002518566397703501,0.007781207483833966,0.01581427160743828,0
28,0.999999938985908,1.6523076004595507e-08,4.449101591261027e-08,1.0550510782981604e-07,0
29,0.9999999999777489,2.223591658170518e-11,1.5327736677360392e-14,2.22665720550599e-11,0
30,0.9999999999760527,2.3885036930103192e-11,6.226050954855673e-14,2.4009557949200305e-11,0
31,0.9999997220688522,4.2256536962313175e-08,2.3567461074471358e-07,5.136057584517403e-07,0
32,0.9999998793428463,7.215736873869985e-09,1.1344141674837472e-07,2.3409857037061944e-07,0
33,1.8700998044797305e-12,8.504981312251621e-05,0.9999149501850073,1.999914950183137,2
34,4.4766880126063336e-117,0.1886100601934634,0.8113899398065366,1.8113899398065367,2
35,6.374721861524689e-104,1.0,0.0,1.0,1
36,2.662082286786089e-64,3.1600697943412733e-06,0.9999968399302056,1.9999968399302055,2
37,1.3508712161544393e-67,1.0,1.5762637924829206e-72,1.0,1
38,8.758975766550557e-59,1.813482855501279e-05,0.9999818651714449,1.999981865171445,2
39,1.5873152234890995e-59,6.893494240109127e-06,0.9999931065057599,1.99999310650576,2
40,1.753141380124531e-63,1.0970992955248784e-05,0.9999890290070448,1.9999890290070448,2
41,3.310242277803451e-69,1.5264767724285994e-05,0.9999847352322757,1.9999847352322757,2
42,2.810848381241562e-54,1.0382982879571041e-05,0.9999896170171204,1.9999896170171203,2
43,1.0966574756854225e-65,1.9412996961057562e-05,0.999980587003039,1.9999805870030392,2
44,0.0,1.0,0.0,1.0,1
45,0.0,1.0,0.0,1.0,1
46,7.022256914413997e-59,0.9999999999364395,6.356056793518691e-11,1.0000000000635607,1
47,5.594142538435049e-95,0.1272276464042002,0.8727723535957997,1.8727723535957996,2
48,2.848396065021775e-91,2.3792483266562227e-05,0.9999762075167336,1.9999762075167338,2
49,4.711192493148566e-97,9.0154860601895e-06,0.9999909845139398,1.9999909845139396,2
50,1.4035424761080027e-45,6.121490568044946e-06,0.999993878509432,1.999993878509432,2
51,0.0,1.0,0.0,1.0,1
52,2.6603510770844905e-51,9.47626514830054e-06,0.9999905237348518,1.9999905237348519,2
53,3.698208042361339e-56,0.0011131527808667606,0.9988868472191332,1.9988868472191332,2
54,2.645135905688944e-65,1.2670219499212364e-05,0.9999873297805008,1.9999873297805006,2
55,2.942458305050969e-126,1.0,0.0,1.0,1
56,0.0,1.0,0.0,1.0,1
57,1.0774819903690188e-97,1.0,5.539165224752916e-36,1.0,1
58,5.088530762414459e-51,2.3206298818611004e-05,0.9999767937011814,1.9999767937011814,2
59,1.7430600632072635e-55,1.9680818621256748e-05,0.9999803191813786,1.9999803191813785,2
60,2.239721223413513e-49,8.645314873200543e-06,0.9999913546851268,1.9999913546851267,2
61,5.184284559184011e-59,1.1563950630692975e-05,0.9999884360493694,1.9999884360493694,2
62,5.023054476317337e-63,1.4893667557489018e-05,0.9999851063324425,1.9999851063324425,2
63,1.0559711280982126e-51,1.765361764597232e-05,0.999982346382354,1.9999823463823538,2
64,2.735125478429799e-171,0.14444768004832753,0.8555523199516725,1.8555523199516726,2
65,1.804595857259047e-236,0.9995998714205395,0.00040012857946055937,1.0004001285794606,1
