day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
0,8.424388167782923e-81,0.4468684929689234,2.24755217457389e-13,0.5531315070308518,2.1062630140619283,3
1,2.0457293367163236e-82,3.5237446761867717e-06,4.0832741042049737e-16,0.9999964762553233,2.9999929525106466,3
2,9.079811140360579e-88,0.9968169609485212,4.6464797672088595e-10,0.0031830385868308396,1.0063660776383097,1
3,1.6699037588604364e-67,0.9999999999998728,3.01046386159727e-14,9.726430320898803e-14,1.0000000000002247,1
4,0.0,0.999999905035677,9.496432298047554e-08,0.0,1.000000094964323,1
5,0.0,0.0010864306525644432,0.9989135693474356,0.0,1.9989135693474356,2
6,9.316341533247757e-77,0.9999977079421097,2.2920578901959517e-06,2.0694371760810524e-166,1.0000022920578902,1
7,1.4129304613456214e-63,1.0,1.0001663697482187e-34,0.0,1.0,1
8,0.0,1.0,2.003692849738095e-17,0.0,1.0,1
9,5.181038165080965e-71,1.6372120311889888e-05,0.0024084504696119005,0.9975751774100762,2.997558805289764,3
10,4.9289269589100657e-76,1.9342255448188412e-11,0.9999999999806578,1.525132345208973e-36,1.999999999980658,2
11,0.9999999993504637,2.5288475193073735e-19,9.686742289671879e-20,6.495363269188888e-10,1.948608981203286e-09,0
12,4.001255350649751e-68,1.24967764830156e-10,0.9999999998750322,1.1668640830397532e-42,1.9999999998750322,2
13,2.2248220321923154e-234,0.9999999999999994,4.893504468967189e-16,0.0,1.0000000000000004,1
14,1.5933435930889725e-69,1.6152082142811223e-06,1.3184580123413025e-48,0.9999983847917856,2.999996769583571,3
15,4.235569993117773e-79,3.0510147083518827e-05,8.398254145688288e-33,0.9999694898529164,2.9999389797058327,3
16,2.467774563393611e-70,2.290303333871623e-06,1.6504406138766598e-45,0.9999977096966661,2.999995419393332,3
17,7.5208677530703e-66,1.0,1.5260156635823177e-28,4.408146915030158e-17,1.0000000000000002,1
18,6.835853721210688e-64,8.194349534020171e-06,3.1729821774948428e-46,0.999991805650466,2.999983611300932,3
19,0.0,1.0,4.161792283618128e-19,0.0,1.0,1
20,2.377131828456792e-78,6.168794877811274e-06,1.543780929629419e-21,0.9999938312051222,2.9999876624102444,3
21,1.411218329992703e-29,6.804213871297552e-06,9.718445574384543e-50,0.9999931957861287,2.9999863915722575,3
22,0.9999999990965911,1.0799921731509956e-12,3.293170082682923e-93,9.023289589200788e-10,2.7080668689333875e-09,0
23,0.9999999984679656,1.3030366232381505e-12,2.4289115154460067e-98,1.5307311767219234e-09,4.593496566789008e-09,0
24,0.9999999972303942,4.570415334770353e-12,1.1340525803407336e-75,2.7650353273853514e-09,8.299676397490825e-09,0
25,0.9999999999999996,4.327032414017229e-17,7.463619974931735e-88,3.662073152837378e-16,1.1418922699913857e-15,0
26,0.9999999999999919,6.062778983760181e-16,1.7229443341915023e-96,7.479069984189156e-15,2.3043487850943484e-14,0
27,0.9954618065099261,2.6962932061317247e-06,6.170603293446264e-48,0.004535497196867784,0.013609187883809482,0
28,0.9999999793466042,3.772102174252596e-11,1.4292362157634187e-73,2.061567484184304e-08,6.188474554727164e-08,0
29,0.9999999999999967,1.8578610073531144e-16,9.471674065519293e-92,3.1288557046378763e-15,9.57235321464894e-15,0
30,0.999999999999986,2.6652141020001246e-16,1.4217441672933297e-47,1.3792165116653441e-14,4.1643016760160334e-14,0
31,0.9999998203529433,4.108343555416389e-14,5.760945090520524e-39,1.7964701569441965e-07,5.389410881666945e-07,0
32,0.9999999582100234,4.856704314044721e-11,7.666655747346707e-90,4.1741409587751336e-08,1.2527279580639446e-07,0
33,2.5379362560380374e-12,4.4503846535207754e-05,4.587613161212871e-54,0.9999554961509267,2.9999109922993155,3
34,9.490828858308631e-117,0.4943382167263181,4.194591766149183e-07,0.5056613638145052,2.011323147088187,3
35,2.853752484577287e-104,0.9999999999999997,2.5753560280522246e-16,0.0,1.0000000000000002,1
36,2.036049165690318e-64,3.9767861002743054e-06,1.9162270658183435e-40,0.9999960232138997,2.9999920464277996,3
37,2.1911423539430026e-67,1.0,8.103058170109289e-23,1.2772182984738714e-78,1.0,1
38,7.43983406088605e-59,5.138996061975132e-06,2.641057288046933e-30,0.999994861003938,2.999989722007876,3
39,1.231350379659688e-59,8.87273777551239e-06,2.931524023544532e-54,0.9999911272622245,2.999982254524449,3
40,1.370840046720081e-63,2.4127805362819407e-05,1.864837781982522e-26,0.9999758721946371,2.9999517443892745,3
41,2.545170010141905e-69,2.698673012309306e-05,2.328572238048151e-36,0.9999730132698769,2.9999460265397535,3
42,2.249503537564118e-54,4.984073863239349e-08,4.865517864489033e-10,0.9999999496727096,2.9999998998319706,3
43,8.870617806937439e-66,1.4599957457644949e-05,5.6423217562539715e-33,0.9999854000425423,2.9999708000850847,3
44,0.0,0.9997158415486351,0.0002841584513649293,0.0,1.000284158451365,1
45,0.0,0.1302400000228859,0.8697599999771142,0.0,1.8697599999771142,2
46,2.7791973913954396e-59,0.9999999999998761,9.174542076961347e-24,1.2382392776253635e-13,1.0000000000002476,1
47,1.0638076610176423e-94,0.44920596817415814,5.055157562249415e-17,0.5507940318258419,2.101588063651684,3
48,2.1453360230578827e-91,2.1566569880575665e-05,1.9473754875282844e-26,0.9999784334301194,2.9999568668602388,3
49,3.5542334598389356e-97,1.3116730008987961e-05,3.116093912412417e-10,0.9999868829583817,2.9999737662283725,3
50,1.1868198097487713e-45,1.6605036112787448e-05,4.022310578579844e-20,0.9999833949638872,2.9999667899277744,3
