day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
0,0.03615263757777738,0.0,1.5309037708987533e-10,0.9638473622691323,8.291080283993506e-29,2.8915420871135775,3
1,3.17064003524742e-06,0.9998937210946289,1.2248226038450312e-18,0.00010310826533583389,7.36698628639298e-30,1.0002030458906364,1
2,0.11443391317258524,0.0,1.9632721985763884e-07,0.885565890500195,4.618685901600076e-34,2.6566980641550244,3
3,0.10048040351826094,0.0,1.0874320747774267e-07,0.8995194877385316,2.8004396784495124e-26,2.69855868070201,3
4,0.9999792313229353,0.0,1.9860804590155023e-05,9.078724745909053e-07,4.270001104203905e-256,4.244522660408276e-05,0
5,2.7802501941785836e-17,0.0,1.0,3.3568056308341485e-59,0.0,2.0,2
6,9.580588638863e-29,0.0,4.515735104492489e-19,1.0,7.393996208145247e-33,3.0,3
7,3.243787250903225e-13,0.0,9.205615636342194e-38,0.9999999999996757,1.0250266724663295e-46,2.999999999999027,3
8,0.9999990810523903,0.0,9.189476096562299e-07,2.5733502901810327e-24,0.0,1.8378952193124598e-06,0
9,3.1170287520206096e-35,0.0,0.0059683587175150985,0.994031641282485,8.289959066504517e-26,2.994031641282485,3
10,3.894759913647252e-79,0.0,3.0574704854050308e-06,0.9999969425295147,3.802876311518083e-29,2.9999969425295148,3
11,1.4571189922399452e-104,7.225624826916307e-11,3.1953916371765025e-15,6.744416933211288e-14,0.9999999999276731,3.9999999997831575,4
12,1.3031228113986955e-82,0.0,3.425339357581891e-05,0.9999657466064242,2.845906404293234e-24,2.9999657466064242,3
13,1.5181641625941705e-19,0.0,7.21003529547511e-21,1.0,1.9558555221034193e-197,3.0,3
14,1.4488509092277646e-13,0.9999917563481446,7.130051364645002e-41,8.243651710456638e-06,5.323305339753838e-24,1.000016487303276,1
15,3.5914121270073168e-06,0.999780063360114,1.819717698287614e-20,0.00021634522775893745,6.647188312376191e-28,1.0004290990433908,1
16,6.55566037284512e-11,0.9999873754469658,1.1430524587381295e-30,1.2624487477673814e-05,7.907922191217674e-25,1.0000252489093988,1
17,4.3854368884759296e-06,0.0,1.0128585510276739e-23,0.9999956145631116,4.8447389057696983e-23,2.9999868436893347,3
18,1.9069084799131418e-10,0.9999694552672737,1.4671782272859532e-38,3.054454203555797e-05,7.787352422523104e-23,1.0000610888933803,1
19,0.9999999927251162,0.0,7.274883786174429e-09,1.2232302868707911e-20,0.0,1.4549767572385555e-08,0
20,2.6097896157590855e-10,0.9999640152343698,8.291520855072058e-16,3.598450465031367e-05,3.632687935561838e-28,1.0000719687483224,1
21,1.1186390345221542e-15,0.999933012760733,5.556824918070665e-42,6.698715366975887e-05,8.559614689483186e-11,1.000133974564127,1
22,2.5441753133117596e-16,4.566153794622896e-12,9.765266167726023e-69,5.822140632385789e-12,0.9999999999896114,3.9999999999804783,4
23,1.0328374945582863e-14,8.011951243339012e-12,2.2856665351395466e-73,1.182612786827956e-11,0.9999999999801515,3.9999999999640967,4
24,1.4888763662897648e-20,2.40504106101963e-11,2.4560656316432405e-57,9.543230024034213e-12,0.9999999999664064,3.999999999918306,4
25,1.1441132201768715e-23,5.649275549347003e-19,1.1198268303982654e-39,5.166139426441619e-18,1.0,4.0,4
26,8.711101065078872e-18,1.1916725102110176e-17,1.3427281962865675e-46,2.1788807596626165e-16,0.9999999999999998,3.9999999999999996,4
27,1.280925015462265e-19,5.109857072724808e-06,1.4208288390692346e-24,2.083633727810496e-08,0.9999948693065901,3.999984649592445,4
28,6.752299653094559e-30,4.202805438213812e-10,1.2135728751726403e-53,1.6911603270407385e-11,0.9999999995628078,3.9999999987222465,4
29,1.814108032640924e-21,6.652354154569124e-18,3.679519402850608e-40,3.557517808943231e-17,1.0,4.0,4
30,6.451340124019732e-21,1.6804379330726473e-17,5.994498176093702e-30,2.715751260403254e-16,0.9999999999999998,4.0,4
31,1.0943120218829939e-92,2.500126133905452e-08,2.3725118690290038e-26,1.6020022921184324e-12,0.9999999749971367,3.999999924994614,4
32,1.8268222758275382e-17,6.366072750004073e-10,1.5257510997912779e-68,1.1625236213860574e-10,0.9999999992471403,3.9999999979739256,4
33,3.306833269047427e-05,0.985862414116847,7.913028448573459e-35,0.002415446425643228,0.01168907112481932,1.039865037893054,1
34,0.09367372122212261,0.0,2.2446590388145426e-07,0.9063260543119736,7.919211490989201e-41,2.7189786118677284,3
