day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,16.477777777777774,8.766666666666666,78.25555555555555,1.1472222222222224,3.704444444444445,47.15555555555555,315.96666666666664,42.71506172839506,31.738148148148152,25.737901234567897,-3.409528395061729,1.8002098765432117,-46.68098765432099,65.16259259259253,31.738148148148152,27.142222222222223,22.185185185185176,-1.3424037037037035,3.3688148148148147,-7.5192592592592575,108.40999999999993,25.737901234567897,22.185185185185176,203.44691358024693,17.64316543209877,33.25786419753087,166.97802469135803,-65.57925925925929,-3.409528395061729,-1.3424037037037035,17.64316543209877,3.087815728395062,3.9207979012345677,31.041120987654324,-2.2712259259259264,1.8002098765432117,3.3688148148148147,33.25786419753087,3.9207979012345677,9.42524691358025,38.68353086419753,-0.09796296296297807,-46.68098765432099,-7.5192592592592575,166.97802469135803,31.041120987654324,38.68353086419753,470.3002469135802,124.4407407407408,65.16259259259253,108.40999999999993,-65.57925925925929,-2.2712259259259264,-0.09796296296297807,124.4407407407408,1684.9244444444437
0,1,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,16.103658536585364,9.04268292682927,88.34146341463412,2.4541097560975613,5.132195121951219,62.158536585365844,505.0060975609758,25.530108566329567,18.650453599048188,-15.7882004759072,-4.213856499107676,-6.893312908982746,-25.735458060678155,20.808148423557405,18.650453599048188,20.42610499702558,-6.22176977989292,1.785872144556811,1.5181380130874478,11.493599048185605,4.0723007138608045,-15.7882004759072,-6.22176977989292,96.89584176085663,12.975496668649612,16.604787031528847,80.45001189767997,-13.097691850089232,-4.213856499107676,1.785872144556811,12.975496668649612,32.822242341612146,15.41609402736466,29.554632599643078,7.41051884295064,-6.893312908982746,1.5181380130874478,16.604787031528847,15.41609402736466,27.648382986317696,39.60473735871506,-5.529708506841163,-25.735458060678155,11.493599048185605,80.45001189767997,29.554632599643078,39.60473735871506,298.79437834622246,-96.39267400356928,20.808148423557405,4.0723007138608045,-13.097691850089232,7.41051884295064,-5.529708506841163,-96.39267400356928,327.2869140392622
0,2,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,18.51,7.44,77.03,0.015349999999999999,0.833,27.03,746.8599999999999,104.85090000000002,79.1876,-63.1043,0.18720649999999997,10.52912,-79.77730000000001,-58.15110000000002,79.1876,69.6124,-45.13669999999998,0.22049599999999997,12.253429999999998,-13.84669999999998,-23.586399999999998,-63.1043,-45.13669999999998,238.0721,-0.052720500000000094,-3.14874,245.00009999999992,5.846699999999997,0.18720649999999997,0.22049599999999997,-0.052720500000000094,0.004415827500000001,0.11507894999999999,0.4232545000000001,0.2170490000000001,10.52912,12.253429999999998,-3.14874,0.11507894999999999,6.245000999999999,16.88491,11.77862,-79.77730000000001,-13.84669999999998,245.00009999999992,0.4232545000000001,16.88491,964.9640999999999,69.28770000000002,-58.15110000000002,-23.586399999999998,5.846699999999997,0.2170490000000001,11.77862,69.28770000000002,979.1574000000003
0,3,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,16.990243902439026,10.992682926829268,89.92682926829268,8.380975609756096,8.13048780487805,73.45365853658538,441.92195121951215,26.6701487209994,20.492855443188578,-13.656567519333732,-8.812451457465793,-11.079897679952413,-41.3845984533016,-11.404176085663272,20.492855443188578,19.247995240928017,-6.228340273646638,3.232826650803093,-3.1724110648423567,-23.319851279000595,-13.267156454491364,-13.656567519333732,-6.228340273646638,38.36098750743606,32.037764069006535,18.318864961332547,39.76758477096966,26.97160618679356,-8.812451457465793,3.232826650803093,32.037764069006535,265.96703621891737,52.915232694824525,26.849711064842335,-83.60414824509225,-11.079897679952413,-3.1724110648423567,18.318864961332547,52.915232694824525,34.68718024985128,25.578534800713857,-39.80164485425343,-41.3845984533016,-23.319851279000595,39.76758477096966,26.849711064842335,25.578534800713857,152.20492563950032,7.90101725163588,-11.404176085663272,-13.267156454491364,26.97160618679356,-83.60414824509225,-39.80164485425343,7.90101725163588,591.8129327781081
0,4,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,25.922151898734175,12.763291139240504,63.862658227848094,0.45394303797468344,1.3189873417721516,10.116455696202538,546.854430379747,75.6114713186989,61.529737221599135,-23.61208420124979,0.8703487301714473,-3.016313010735459,-6.868275917320945,19.82487021310688,61.529737221599135,59.04688030764299,-15.635674571382784,0.9518225925332475,-0.4969991988463386,10.643958500240347,9.573200608876766,-23.61208420124979,-15.635674571382784,158.8514536933182,6.712899771671206,7.829582438711745,67.05257651017466,-47.11303076430066,0.8703487301714473,0.9518225925332475,6.712899771671206,12.869188673970525,3.4376597524435217,6.854070557602948,1.3455012017304848,-3.016313010735459,-0.4969991988463386,7.829582438711745,3.4376597524435217,6.393362265662562,7.569105271591091,-1.0241031084762156,-6.868275917320945,10.643958500240347,67.05257651017466,6.854070557602948,7.569105271591091,136.25719756449294,-46.10887037333765,19.82487021310688,9.573200608876766,-47.11303076430066,1.3455012017304848,-1.0241031084762156,-46.10887037333765,450.78146771350754
0,5,0.024657534246575342,0.22465753424657534,0.0547945205479452,0.11232876712328767,0.4328767123287671,0.1506849315068493,26.60363636363637,15.847272727272728,71.59454545454548,0.48736363636363644,2.424909090909091,23.259999999999994,477.2509090909089,60.18762314049586,45.300555371900835,-12.083798347107432,0.5564495867768597,1.8625094214876026,-20.370763636363638,-16.774003305785136,45.300555371900835,42.29303801652892,-3.003014876033054,1.6631191735537192,4.141949752066115,-1.4006545454545491,-28.746224793388446,-12.083798347107432,-3.003014876033054,118.21287933884294,6.340034710743799,-0.2399368595041338,63.94705454545455,-35.84317685950411,0.5564495867768597,1.6631191735537192,6.340034710743799,5.618457395041327,2.0874509421487595,2.8799527272727263,-8.435776694214873,1.8625094214876026,4.141949752066115,-0.2399368595041338,2.0874509421487595,8.642043173553724,13.37454181818182,-13.598849917355373,-20.370763636363638,-1.4006545454545491,63.94705454545455,2.8799527272727263,13.37454181818182,193.13803636363636,-51.93178181818181,-16.774003305785136,-28.746224793388446,-35.84317685950411,-8.435776694214873,-13.598849917355373,-51.93178181818181,533.4250446280992
1,0,0.02485265048961861,0.2217687120815429,0.05484842151818063,0.11327383627505236,0.4265543779510326,0.15870200168457224,16.572352611853564,8.863455212080572,78.27607678843411,1.1420170894189223,3.699756895270792,47.13132099935272,316.9113724753875,43.513151614615076,32.645426374422186,25.771741501228696,-3.44683201697529,1.7159275402823648,-46.63327674612246,75.97619967891369,32.645426374422186,28.117730202962907,22.276397812487563,-1.3908312004870351,3.315356303630721,-7.713920949791818,119.04706046430704,25.771741501228696,22.276397812487563,201.9732143666127,17.509888767691073,33.1105786354458,165.8183686032869,-62.93438014446298,-3.44683201697529,-1.3908312004870351,17.509888767691073,3.072488448646142,3.9288998701434195,30.868723252969087,-2.9509578464358093,1.7159275402823648,3.315356303630721,33.1105786354458,3.9288998701434195,9.586097828438879,38.75591908167897,-1.0997755097746362,-46.63327674612246,-7.713920949791818,165.8183686032869,30.868723252969087,38.75591908167897,467.30035297924826,119.80515717990258,75.97619967891369,119.04706046430704,-62.93438014446298,-2.9509578464358093,-1.0997755097746362,119.80515717990258,1784.7509554109542
1,1,0.02485265048961861,0.2217687120815429,0.05484842151818063,0.11327383627505236,0.4265543779510326,0.15870200168457224,16.069354353853008,8.940095725087826,88.45321662749039,2.131892531142502,5.32419379380537,62.651197983362245,505.0417569216035,24.50822997010691,17.415808420956804,-17.75333671970371,-3.3372589271076984,-7.94180786890626,-30.720075011714954,35.12325037195937,17.415808420956804,18.870277998402706,-7.427135021489985,0.6803074378963736,0.5518230101998991,7.7404350089546154,13.331504725879894,-17.75333671970371,-7.427135021489985,91.45570798252797,9.008967417328124,16.266745651136443,79.3401667213581,-20.66766253629606,-3.3372589271076984,0.6803074378963736,9.008967417328124,23.613648374169514,13.84808556710181,20.01079038184367,21.167447893059872,-7.94180786890626,0.5518230101998991,16.266745651136443,13.84808556710181,28.316136693605987,35.96388276754427,-2.314712115710234,-30.720075011714954,7.7404350089546154,79.3401667213581,20.01079038184367,35.96388276754427,302.7129895417564,-149.01087074412686,35.12325037195937,13.331504725879894,-20.66766253629606,21.167447893059872,-2.314712115710234,-149.01087074412686,491.32438864260723
1,2,0.02485265048961861,0.2217687120815429,0.05484842151818063,0.11327383627505236,0.4265543779510326,0.15870200168457224,18.52640263872887,7.450451963667724,77.01377393965514,0.015335056895419466,0.832192333500369,27.008510758776207,746.7255846239095,105.1028744238139,79.3452209431934,-63.36831622775932,0.1867718983646327,10.505192607912392,-80.04251448608076,-60.30218773316324,79.3452209431934,69.70110543065354,-45.30582415278579,0.2201196639329566,12.232739046632934,-14.050082436440446,-24.96635292847558,-63.36831622775932,-45.30582415278579,238.14606141323114,-0.052418763728586885,-3.1320575677145728,245.1059857471031,8.035569395309823,0.1867718983646327,0.2201196639329566,-0.052418763728586885,0.0044117225857321285,0.11497871755612522,0.423170325220221,0.21887301801690612,10.505192607912392,12.232739046632934,-3.1320575677145728,0.11497871755612522,6.239572532780287,16.8863721560228,11.877055030147726,-80.04251448608076,-14.050082436440446,245.1059857471031,0.423170325220221,16.8863721560228,964.49213260324,72.15930578847482,-60.30218773316324,-24.96635292847558,8.035569395309823,0.21887301801690612,11.877055030147726,72.15930578847482,996.579055065416
1,3,0.02485265048961861,0.2217687120815429,0.05484842151818063,0.11327383627505236,0.4265543779510326,0.15870200168457224,17.824616017429918,11.701897111714029,90.22952516672119,10.761920616536047,8.498045318525728,71.3832913121604,447.6188029101603,33.57305567004363,23.58942022649801,-17.10558449076561,2.0250428890660435,-10.516689639946108,-70.57631701219645,38.11099830609722,23.58942022649801,20.320936506306687,-7.87309516699229,7.177454752723228,-4.057582842452699,-39.97930773363721,16.779032846834163,-17.10558449076561,-7.87309516699229,29.932638257849753,21.251255603074682,13.386071660750384,49.39823018214491,0.25910764058123864,2.0250428890660435,7.177454752723228,21.251255603074682,294.81965280628924,51.44911248163206,-23.063614846387942,29.979241652551572,-10.516689639946108,-4.057582842452699,13.386071660750384,51.44911248163206,30.783885142932313,19.403149546500437,-41.671244168712654,-70.57631701219645,-39.97930773363721,49.39823018214491,-23.063614846387942,19.403149546500437,248.36639744700966,-159.9221946922924,38.11099830609722,16.779032846834163,0.25910764058123864,29.979241652551572,-41.671244168712654,-159.9221946922924,1007.6810709327505
