day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,weighted_mean,max
0,4.73617249041488e-93,0.9998276265008834,5.502108083444815e-75,0.00016138355227231452,1.098994372280109e-05,3.1215023411736457e-12,1.000355736948199,1
1,1.777256912994087e-22,0.010222663966667558,1.0973904325866452e-71,3.0340727793828155e-05,2.598378633410723e-06,0.9897443969269052,4.959046064299108,5
2,4.65744564644145e-62,0.989387590944341,2.892549899852859e-81,0.010350343008667743,0.00026206604699120415,2.503309096141097e-42,1.0214868841583091,1
3,3.839899031662119e-135,0.9945879394052225,1.2615793004210646e-63,0.005359309342072933,5.275125270469579e-05,2.9615399717462214e-42,1.01087687244226,1
4,1.5267582291596152e-118,0.9867116895590045,1.6870927960971941e-304,0.012659161794237662,0.0006291486467577653,9.741441682828335e-39,1.0272057695287486,1
5,4.524680208809013e-56,1.4319650556817358e-71,0.0,1.1387933432492175e-33,1.0,9.664618268415436e-297,4.0,4
6,1.3799732639561297e-148,1.7979734390141271e-50,2.4465576370918385e-71,1.7001252380659796e-126,1.0,3.320036613577295e-34,4.0,4
7,0.0,1.3944563689631414e-64,8.191059714632345e-62,1.2104110352641024e-108,1.0,1.349042519152244e-31,4.0,4
8,1.1219741543685067e-247,3.729780870075709e-40,0.0,2.4949106008332277e-21,1.0,1.1718215137518012e-150,4.0,4
9,2.1317894541662987e-53,8.937368197065122e-47,1.662936779291865e-62,1.4874541230185847e-92,0.999999992836066,7.163934017996045e-09,4.000000007163934,4
10,1.9284047425199137e-24,2.977961651514415e-106,5.950292982259064e-66,1.2366914047652129e-190,1.0,2.1128455842163495e-37,4.0,4
11,0.0,1.867285167216537e-213,0.9999999999687965,4.792245582979028e-253,6.3430589441410184e-15,3.119719695647837e-11,2.0000000000936042,2
12,1.9035449338987763e-87,5.944833055938461e-115,1.132183520936022e-58,2.671193942981987e-210,0.9999999018110557,9.818894438639171e-08,4.000000098188945,4
13,0.0,1.0316012199008558e-50,1.1710287716299592e-228,3.379169783407223e-127,1.0,1.0695329859333262e-28,4.0,4
14,2.3176606825274345e-234,1.385768213323585e-40,5.3521631536740494e-61,3.1910981607014254e-84,2.8982586519241274e-05,0.9999710174134807,4.99997101741348,5
15,0.0,0.43733737996058836,2.554619390894365e-69,2.1148792568708137e-16,2.3790199872695103e-05,0.5626388298395387,3.250626689957773,5
16,4.263851229206443e-153,1.2139435671243856e-31,1.0811021521694235e-61,3.9654966199985834e-44,1.6295049364169418e-05,0.9999837049506358,4.999983704950635,5
17,6.886811666391998e-197,3.0082902656271944e-23,3.9094999082877697e-59,8.812749896757203e-50,0.9999984051846794,1.5948153206354308e-06,4.000001594815321,4
18,0.0,3.849511271469717e-19,4.81736520873857e-56,3.2064922601740325e-69,7.449593327900593e-05,0.999925504066721,4.999925504066721,5
19,3.9810650128544503e-259,4.653702184666198e-21,0.0,0.00011176288764470717,0.9998882371123553,6.211312819567567e-132,3.9998882371123554,4
20,4.967890662331987e-103,5.638425068903415e-19,1.2045365341687604e-68,3.243362295458667e-46,6.0842857522662014e-05,0.9999391571424773,4.999939157142477,5
21,0.0,1.7040571642416128e-56,1.8181959803788463e-25,1.028935548577522e-116,0.0002604520002887365,0.9997395479997112,4.99973954799971,5
22,0.0,7.0818082256735e-99,0.9999999999886309,9.512652952752107e-115,3.1635456685701976e-13,1.105267808985428e-11,2.0000000000337907,2
23,0.0,1.2988479799475898e-88,0.9999999999788358,7.06776578831069e-110,9.448607437295615e-13,2.0219353668162905e-11,2.0000000000625477,2
24,0.0,1.684489614180239e-99,0.9999999999557336,1.3957805035510808e-124,6.789535908164252e-13,4.3587389132911723e-11,2.00000000013212,2
25,0.0,2.8758110446357444e-89,1.0,1.1620021262059212e-31,1.2160099416762363e-21,1.2517269838677215e-18,2.0,2
26,0.0,2.0715622486915237e-75,1.0,1.0337479886077205e-31,1.578637140493311e-19,3.263516168883541e-17,2.0,2
27,0.0,7.651486962624711e-63,0.9999214094522895,2.783751807456688e-54,3.706300007281242e-08,7.855348471031529e-05,2.000235734580131,2
28,0.0,7.723554252348693e-107,0.9999999994406333,3.7913446489760506e-142,5.32430578526957e-12,5.540423130140066e-10,2.0000000016727753,2
29,0.0,1.1327279346311808e-86,1.0,9.122580780973986e-32,2.835435766417471e-20,1.651103857214347e-17,2.0,2
30,0.0,2.5712839881457e-68,1.0,1.0686705802422114e-26,4.879201397662741e-21,3.7364442038025434e-17,2.0,2
31,0.0,2.3052144231795386e-208,0.999999985292729,1.4660698866157508e-244,2.9275387175421133e-12,1.4704343415019716e-08,2.0000000441188854,2
32,0.0,2.201075006072596e-84,0.9999999989661156,4.2403736179347735e-127,3.660635127285222e-11,9.972781344440386e-10,2.0000000030650473,2
