day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
0,0.018372598309984053,0.4593762029022657,0.0,0.0,5.841755637053565e-75,0.0,0.5222511987877502,3.592883395628767,6
1,1.7960486342146422e-07,4.791785708770902e-06,1.8428372080095973e-168,0.9999589636638903,1.5353214413674365e-75,0.0,3.606494553761032e-05,3.000098072450605,3
2,0.008078806167830832,0.07842948407424057,0.0,0.0,3.6384737346375544e-82,0.0,0.9134917097579286,5.559379742621813,6
3,0.005382676285281326,0.005471490010601158,0.0,0.0,1.2044582997573676e-63,0.0,0.9891458337041176,5.940346492235307,6
4,0.9970158916416267,0.002259500296434418,0.0,0.0,5.533647638396398e-305,0.0,0.0007246080619388442,0.0066071486680674835,0
5,0.021427146000228357,0.9785728539997716,0.0,0.0,0.0,4.1558425295825666e-30,4.988622616269791e-84,0.9785728539997716,1
6,0.999951500679174,4.8499320825879776e-05,0.0,0.0,5.310303841401014e-71,0.0,1.1271832038553366e-210,4.8499320825879776e-05,0
7,1.0,3.757616474119385e-30,0.0,0.0,3.206148290222014e-62,0.0,8.665872131497761e-142,3.757616474119385e-30,0
8,0.4449275985128416,0.5550667011073644,0.0,0.0,0.0,5.7003797940092494e-06,2.0884529746102464e-28,0.5550952030063345,1
9,1.5489421975847982e-05,0.21286074055582366,0.0,0.0,3.0146025605925335e-66,0.7871237700222004,1.2112717436516304e-211,4.148479590666826,5
10,4.192222262456987e-09,0.9999999958077778,0.0,0.0,7.33348030870545e-70,1.7030789237046976e-291,0.0,0.9999999958077778,1
11,8.606695305802042e-18,4.9166812040199096e-60,0.0,6.90952775137175e-10,0.9999999993090473,0.0,0.0,3.9999999993090474,4
12,2.4350429432633083e-08,0.9999999756495707,0.0,0.0,2.091977138369413e-62,4.529652577715694e-264,0.0,0.9999999756495707,1
13,0.9999999998331565,1.6684358315774897e-10,0.0,0.0,2.5401614203047826e-229,0.0,5.149791836115052e-160,1.6684358315774897e-10,0
14,7.883282495733453e-07,1.6808170974088505e-62,0.0,0.9999992116717504,4.079234486675826e-64,0.0,5.5506537333971435e-81,2.9999976350152515,3
15,2.349130051102653e-06,5.514310868114885e-11,0.0,0.9999976508148058,1.178229916447541e-72,4.555234348073348e-74,1.5746902984313422e-20,2.9999929524995603,3
16,4.894539716644675e-07,3.067576443338866e-42,0.0,0.9999995105460283,7.234195751555601e-65,2.1379761454609683e-63,6.551917201119973e-44,2.999998531638085,3
17,1.0,1.1792628976099701e-30,0.0,0.0,5.865241491135742e-61,0.0,1.8045011185641018e-48,1.1792628976099701e-30,0
18,1.3925783914320026e-06,3.2784798852301493e-36,0.0,0.9999986074216085,4.663954178288327e-59,0.0,2.99800102916375e-63,2.9999958222648253,3
19,0.003990991468284654,0.008411988585411728,0.0,0.0,0.0,0.987590588531068,6.431415235830659e-06,4.946403519732166,5
20,4.2191248622401837e-07,1.5499319067170104e-17,0.0,0.9999995779799455,5.380622257311976e-72,1.0756823175246157e-10,7.167657137053235e-57,2.999998734477678,3
