day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
0,0.017081886379524548,1.9285071960948493e-50,5.4555252323922476e-11,8.667365215841833e-05,3.529541881184306e-115,0.0,0.9828314399137619,5.897248660548157,6
1,1.6907877692429377e-07,2.124869312756488e-45,3.324836663370261e-13,2.1402077651108972e-08,2.2949237813576185e-98,0.9999824035553867,1.7405963426191398e-05,5.000016517764388,5
2,0.0017657517650605363,8.510753032926207e-41,2.652380831605536e-08,0.00717007942385503,1.3129082735529397e-107,0.0,0.9910641422872761,5.967895145042839,6
3,0.0008147297685183778,3.6734081832648556e-39,8.225023509034854e-10,0.0019333861881888489,1.4005279344966157e-114,0.0,0.9972518832207905,5.989311459534314,6
4,0.012627316829714418,1.2423269694369355e-239,6.673826596891638e-213,1.3469403590908917e-06,1.3468475949939527e-149,0.0,0.9873713362299265,5.924232058200635,6
5,0.9999999966421017,0.0,0.0,3.3578981945989734e-09,5.660273984481064e-262,0.0,1.3288343138193157e-39,1.007369458379692e-08,0
6,1.386759263706543e-05,6.0004949391263886e-74,1.904333952369919e-10,7.034135890340432e-16,0.9999861322169288,0.0,3.7330017032031945e-208,3.9999445292485842,4
7,0.0064540804527989035,1.3432862221611607e-94,2.9939419383740783e-35,2.581118814241611e-10,0.9935459192890893,0.0,9.02314069462125e-178,3.974183677930693,4
8,0.9123434101506105,0.0,0.0,0.08765658984938948,2.3246129531808133e-173,0.0,2.4390200741553214e-24,0.2629697695481684,0
9,3.6294797047324465e-05,1.026011314340519e-64,0.9999637051790244,1.3344165620691972e-19,2.392823350016554e-11,0.0,1.9855304581065395e-142,1.9999274104537619,2
10,1.4677153712902204e-12,5.668899468306297e-87,0.0007321502944023078,8.79168380247764e-44,0.99926784970413,0.0,2.5051116523761213e-292,3.9985356994053243,4
11,5.945727481006814e-13,5.474967186867615e-81,2.30890594290751e-18,1.0006903572501218e-69,0.9999999999993635,4.196108408726649e-14,0.0,3.9999999999976636,4
12,9.08667962091059e-10,7.162992831861217e-87,0.0004419871374890599,1.8461655502715487e-46,0.9995580119538431,0.0,0.0,3.9991160220903503,4
13,0.9999999999963128,6.158120053386462e-243,4.249798799202384e-122,3.650641662975784e-12,3.6346187223790016e-14,0.0,4.330974953427726e-207,1.1097309737822512e-11,0
