day,cluster,cluster0,cluster1,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.5,0.5,29.4,16.3,72.0,0.0,0.0,13.2,535.3,16.849999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.45
0,1,0.5,0.5,21.0,2.8,48.4,0.0,0.0,0.0,547.2,16.849999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.45
1,0,0.8370409207476049,0.16295907925239492,23.14555391711788,13.111799157153238,77.95514814976505,2.122539745879962,3.533558205938353,38.23881309215407,510.7839996210566,78.47012221720426,51.71978775728245,-93.83361675921269,-12.512268688791949,-15.633692881105732,-184.07162269029388,153.7846587896807,51.71978775728245,42.15181949018268,-53.28115647261871,-3.1952805130210815,-4.3307283753269985,-83.87928333627147,50.09979784696256,-93.83361675921269,-53.28115647261871,199.26457833079675,29.669563227702977,30.620966384199125,301.2950166578877,-236.91666716063764,-12.512268688791949,-3.1952805130210815,29.669563227702977,58.95716288465343,19.096976841065324,64.76156992736757,-92.95880195419838,-15.633692881105732,-4.3307283753269985,30.620966384199125,19.096976841065324,22.24049792554237,75.60256654637986,-97.3194664063464,-184.07162269029388,-83.87928333627147,301.2950166578877,64.76156992736757,75.60256654637986,826.9507947922355,-646.3894664295195,153.7846587896807,50.09979784696256,-236.91666716063764,-92.95880195419838,-97.3194664063464,-646.3894664295195,4900.141775603075
1,1,0.8370409207476049,0.16295907925239492,17.200247937263956,5.08042425906596,56.944258245621405,0.09312015086940836,1.116130656706555,4.5154670464293,570.0616786537184,53.363632348625444,31.086870136509248,-40.1042972785291,-0.34628056185177836,-4.553659881946431,-18.453346939113118,-53.54329519754576,31.086870136509248,30.719528578507838,-41.29609409002282,-0.19204135423933236,-1.523492335272767,-1.003750719027442,-84.81866430749443,-40.1042972785291,-41.29609409002282,149.92097505242995,0.3653521943488765,3.086507558907191,4.889270853619935,410.3439830731998,-0.34628056185177836,-0.19204135423933236,0.3653521943488765,0.134045729294913,0.36583196731813666,0.6470334466680558,-1.5305803208222697,-4.553659881946431,-1.523492335272767,3.086507558907191,0.36583196731813666,5.154499511444621,1.8789800858629955,-31.38479006914157,-18.453346939113118,-1.003750719027442,4.889270853619935,0.6470334466680558,1.8789800858629955,74.23822669845535,-181.38079303618326,-53.54329519754576,-84.81866430749443,410.3439830731998,-1.5305803208222697,-31.38479006914157,-181.38079303618326,6743.650352055532
2,0,0.756236308205499,0.24376369179450064,22.98943133268971,13.31628628510152,79.26722444816762,2.3533235209461543,3.8951206428879557,41.26794868761966,507.27431766522005,76.40767424246518,50.38992299884704,-91.3949877638285,-13.531761246462885,-16.77248995230894,-192.45273206889078,126.93617276664163,50.38992299884704,40.391470286930904,-53.31302080557295,-4.060825736002843,-5.603085188138328,-95.75105605992312,36.68554647651225,-91.3949877638285,-53.31302080557295,182.97625820014733,29.659086632297356,28.78583596854436,289.54916072743276,-234.7168648198564,-13.531761246462885,-4.060825736002843,29.659086632297356,64.721022353604,20.28902169272855,64.54326688781097,-94.37626423086384,-16.77248995230894,-5.603085188138328,28.78583596854436,20.28902169272855,23.188849776930073,72.3638648773499,-93.79905816651096,-192.45273206889078,-95.75105605992312,289.54916072743276,64.54326688781097,72.3638648773499,810.6267513003023,-568.3964690597138,126.93617276664163,36.68554647651225,-234.7168648198564,-94.37626423086384,-93.79905816651096,-568.3964690597138,4583.287735792421
2,1,0.756236308205499,0.24376369179450064,19.6553867998898,7.108337204041876,59.83860677097956,0.049879068032155374,0.7957903079638335,6.29694478777189,561.3000745540702,79.45732445929774,53.11885658942178,-44.56657236601162,-0.272549126067077,-4.46567688516934,-23.33422256869153,37.48612240497502,53.11885658942178,46.92015243534515,-41.95543350152946,-0.19580796887988208,-2.192887619352086,-4.266025992823923,-11.247851603419804,-44.56657236601162,-41.95543350152946,178.37955074363043,0.12829999386673863,0.791689186913906,22.2569243779518,285.8065526844712,-0.272549126067077,-0.19580796887988208,0.12829999386673863,0.043899461626380636,0.223225637601287,-0.04376342674393057,-0.6465241244153701,-4.46567688516934,-2.192887619352086,0.791689186913906,0.223225637601287,3.8820148782902986,0.017439283978855757,-17.72224262694013,-23.33422256869153,-4.266025992823923,22.2569243779518,-0.04376342674393057,0.017439283978855757,85.92199880136926,-267.31037639506593,37.48612240497502,-11.247851603419804,285.8065526844712,-0.6465241244153701,-17.72224262694013,-267.31037639506593,6874.497513540522
3,0,0.578834716348686,0.42116528365131406,21.084885051284786,12.572447042782555,82.9696828739397,3.0809267444957755,4.992453257068505,50.21209677969285,496.6569844706766,66.42828337234586,46.485361050623254,-66.77029751368508,-11.92753054925864,-13.386192415949694,-159.5200959568634,54.85314821637398,46.485361050623254,39.055973398947394,-39.81425256786826,-3.1416115106242306,-4.157959438234994,-84.52174196467985,-0.2781117725909105,-66.77029751368508,-39.81425256786826,137.4645817125865,27.20618576795085,20.15140385438439,221.9000982684741,-120.52405045334834,-11.92753054925864,-3.1416115106242306,27.20618576795085,82.31412125318694,23.12824675629965,56.52787719206249,-90.31015181097408,-13.386192415949694,-4.157959438234994,20.15140385438439,23.12824675629965,24.79847553336926,52.51969020714485,-71.06758314708152,-159.5200959568634,-84.52174196467985,221.9000982684741,56.52787719206249,52.51969020714485,679.1466630985294,-283.28240812307934,54.85314821637398,-0.2781117725909105,-120.52405045334834,-90.31015181097408,-71.06758314708152,-283.28240812307934,4827.893055531406
3,1,0.578834716348686,0.42116528365131406,23.677281243147224,10.745531639210398,62.93372472451729,0.02013470565632236,0.5931428422853217,8.734772350164244,553.1356451512062,92.86339661117907,69.13636721751699,-39.71719077520043,-0.10798864538393557,-3.179182983734996,-26.558250208144987,10.642236506366764,69.13636721751699,60.9419554423216,-33.6878264324125,-0.06495717598370739,-1.8461289698526182,-7.0723668371971335,-27.329776055685176,-39.71719077520043,-33.6878264324125,175.71637381840998,0.028921316288342963,-0.21464742793740782,44.17396123912869,105.19562794392024,-0.10798864538393557,-0.06495717598370739,0.028921316288342963,0.007185820200987252,0.10368578505111523,-0.04949657184592217,-0.12188826407449174,-3.179182983734996,-1.8461289698526182,-0.21464742793740782,0.10368578505111523,2.8038786179603745,-0.41628503240119785,-10.476600308131479,-26.558250208144987,-7.0723668371971335,44.17396123912869,-0.04949657184592217,-0.41628503240119785,111.36320627635371,-256.97162275066927,10.642236506366764,-27.329776055685176,105.19562794392024,-0.12188826407449174,-10.476600308131479,-256.97162275066927,5004.380060194852
4,0,0.4553089586061517,0.5446910413938488,19.10569162393591,11.505168735304597,85.15661149489415,3.9222977965767885,6.231100985298205,57.18064638645116,494.90674165407336,54.688947571157726,40.202241081976744,-51.44992336468116,-7.457404266655826,-7.223785956764739,-116.13413888251542,39.60813207922108,40.202241081976744,36.205899526784215,-29.58442286231801,0.12124712389866127,-0.49920496905120487,-56.3298782888626,-13.128383273933492,-51.44992336468116,-29.58442286231801,122.99373760939126,25.96220982962355,14.301053713197575,190.1053259065825,-119.3647304547145,-7.457404266655826,0.12124712389866127,25.96220982962355,101.33358447485901,24.558198543462417,44.25547744125517,-107.4044920237314,-7.223785956764739,-0.49920496905120487,14.301053713197575,24.558198543462417,24.1122513309236,26.420289066725104,-75.17711668309774,-116.13413888251542,-56.3298782888626,190.1053259065825,44.25547744125517,26.420289066725104,583.3008570028557,-297.3536884645097,39.60813207922108,-13.128383273933492,-119.3647304547145,-107.4044920237314,-75.17711668309774,-297.3536884645097,5522.732318375143
4,1,0.4553089586061517,0.5446910413938488,24.743788217139553,12.051983242411888,65.64944539392096,0.01096047429459358,0.5554347598522668,12.316022483910325,541.7903729636984,85.21580660049602,65.7281961051874,-31.82938269820777,-0.03567173624051291,-1.179629876479291,-25.93188643967194,-21.411659467552727,65.7281961051874,59.71867349750871,-22.388942955059314,-0.013612746238751331,-0.4185437234487242,-3.1176305229005683,-68.3065944903859,-31.82938269820777,-22.388942955059314,185.54995059991427,-0.0602293381042681,-1.665322829922877,84.52239377323541,-37.0193081980196,-0.03567173624051291,-0.013612746238751331,-0.0602293381042681,0.0018583998593821613,0.048960008044754054,-0.038161479394786105,-0.16263014721945745,-1.179629876479291,-0.4185437234487242,-1.665322829922877,0.048960008044754054,2.360665138470142,-0.8651007610026834,-10.8319167256426,-25.93188643967194,-3.1176305229005683,84.52239377323541,-0.038161479394786105,-0.8651007610026834,173.76023042906127,-341.9322075129668,-21.411659467552727,-68.3065944903859,-37.0193081980196,-0.16263014721945745,-10.8319167256426,-341.9322075129668,4810.397514061109
