day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
0,8.697668124905282e-10,0.0006998266682991086,0.0,0.9993000926999553,7.976197863868227e-08,2.99860042381608,3
1,0.9882225608463173,0.01177503973775728,0.0,1.7470496034875005e-101,2.399415925465728e-06,0.011784637401459143,0
2,1.5648246766336488e-25,0.9993028734265651,0.0,2.548059678753565e-244,0.0006971265734348594,1.0020913797203046,1
3,1.2876388082760484e-25,0.999658913311272,0.0,9.02727717139124e-137,0.0003410866887279782,1.001023260066184,1
4,5.1840647530896185e-49,0.9996050502231447,0.0,0.0,0.0003949497768552746,1.0011848493305657,1
5,0.0,3.4097569070581087e-09,7.626401347120904e-244,0.0,0.9999999965902431,3.9999999897707292,4
6,6.504875377376306e-20,6.8592010710759685e-18,0.0,0.0,1.0,4.0,4
7,5.787893571429718e-22,1.566834643583481e-09,0.0,0.0,0.9999999984331653,3.999999995299496,4
8,5.505225382365869e-193,0.8559966796248525,0.0,0.0,0.1440033203751475,1.4320099611254424,1
9,2.9118118397103487e-05,3.540110078271351e-23,0.0,0.0,0.9999708818816029,3.9998835275264115,4
10,7.119936218520403e-23,6.714440723165968e-52,0.0,0.0,1.0,4.0,4
11,3.2036287609362794e-09,1.513905577621449e-101,0.0,2.593645384072169e-216,0.9999999967963713,3.999999987185485,4
12,0.0001888303934560966,4.17257188680404e-61,0.0,1.8417311787330417e-234,0.9998111696065438,3.9992446784261753,4
13,2.218533326010696e-36,3.1210556015251517e-18,0.0,0.0,1.0,4.0,4
14,0.9995661967740495,1.0381171118285576e-14,0.0,2.623559674449614e-83,0.00043380322594020174,0.0017352129037711882,0
15,0.9921948809182153,0.007771433371276728,0.0,8.23000656938859e-72,3.368571050794103e-05,0.007906176213308492,0
16,0.9998418796999796,7.75005123606825e-11,0.0,1.3108796052887849e-79,0.00015812022251981736,0.0006324809675797819,0
17,0.001670373914497937,2.6182458151724716e-06,0.0,2.3342621785556563e-70,0.9983270078396869,3.9933106496045627,4
18,0.9996637173139978,1.2435122143385179e-08,0.0,7.349716244058715e-60,0.0003362702508800806,0.0013450934386424658,0
19,9.813060196946177e-148,0.9997163060151728,9.803323144633365e-189,0.0,0.0002836939848271948,1.0008510819544816,1
20,0.9998257802458295,2.8740527776195232e-08,0.0,1.199765203900057e-42,0.00017419101364270432,0.0006967927950985934,0
21,0.9867215897872111,8.150434275021664e-15,0.0,3.5823239217104384e-74,0.013278410212780768,0.053113640851131225,0
22,4.274901660776673e-10,8.578989602733252e-21,0.0,1.1894523357394076e-79,0.9999999995725098,3.9999999982900394,4
23,6.119138354722176e-10,3.9569330584927023e-20,0.0,5.838741367423329e-65,0.9999999993880861,3.9999999975523446,4
24,1.5599330968174418e-09,1.0948781914978235e-28,0.0,5.607809557016729e-68,0.9999999984400668,3.9999999937602673,4
25,1.1005443207984534e-22,1.6375693066076634e-55,0.0,0.9999999999883201,1.1679924681143367e-11,3.00000000001168,3
26,4.084623495329463e-21,4.1583803733804084e-44,0.0,0.9999999996380988,3.619012712287524e-10,3.0000000003619016,3
27,1.5297418100175314e-09,5.797479950189156e-42,0.0,0.9999935471537394,6.451316518776818e-06,3.0000064467272933,3
28,1.4715435190419696e-08,9.999860646334813e-49,0.0,1.202240856024882e-68,0.9999999852845648,3.999999941138259,4
29,1.4052156670731724e-21,1.331540400456981e-54,0.0,0.9999999999334879,6.651210193046408e-11,3.000000000066512,3
30,2.08282473598957e-21,9.699760018449751e-34,0.0,0.9999999991018722,8.981278862356846e-10,3.0000000008981282,3
31,8.465650919519077e-07,1.222554312584535e-121,0.0,4.852984125508567e-143,0.9999991534349081,3.9999966137396323,4
32,1.5591011980614368e-08,9.299428916809061e-34,0.0,3.9998552079590083e-41,0.999999984408988,3.999999937635952,4
33,0.22949992815933884,1.883779332007915e-07,0.0,2.1034526887132567e-27,0.7704998834627279,3.081999722228845,4
34,3.176508759363422e-08,0.0012980059578130347,0.0,0.9986989035502334,3.058726865991282e-06,2.9974069515159774,3
35,3.263992713696214e-07,0.9980100158680297,0.0,0.0,0.0019896577326988327,1.0059686467988251,1
36,0.9997205060048973,1.877923311018803e-08,0.0,1.5693224669041363e-75,0.0002794752158696379,0.0011179196427116619,0
37,0.006372631498731789,7.159519213794981e-17,6.961619107057115e-203,2.591502285166956e-144,0.9936273685012682,3.974509474005073,4
38,0.9996486496966632,1.5407677407287615e-28,0.0,1.0782570644564177e-39,0.00035135030333690773,0.001405401213347631,0
39,0.9996970840308749,8.422452773328084e-09,0.0,1.8454791849181937e-51,0.00030290754667227764,0.001211638609141884,0
40,0.9998570781451092,8.345567926335402e-06,0.0,5.527957839154059e-53,0.00013457628696454712,0.0005466507157845239,0
41,0.9997579549397931,0.00015279385383275287,0.0,5.830548892702932e-60,8.925120637414286e-05,0.0005097986793293243,0
42,0.9993380464697099,1.2384224883819142e-24,0.0,1.194797315067392e-26,0.0006619535302900013,0.0026478141211600053,0
43,0.9998001353763415,8.477675511858657e-18,0.0,3.853663405156307e-24,0.0001998646236584429,0.0007994584946337801,0
44,1.0515806912315524e-127,0.9855411084553672,0.0,0.0,0.014458891544632747,1.0433766746338982,1
45,0.0,0.9999162974637945,1.1980539957999267e-33,0.0,8.370253620548634e-05,1.0002511076086165,1
46,3.679661496068469e-23,0.7201119481932204,0.0,9.794587395623122e-273,0.2798880518067795,1.8396641554203383,1
47,1.8411882559344455e-08,0.002749292747507719,0.0,0.997246981499436,3.707341173597957e-06,2.99450506661051,3
48,0.9946150462973131,0.005351819381870017,0.0,2.1024420061140518e-109,3.313432081686762e-05,0.005484356665137488,0
49,0.9419765677078316,0.058020129732164666,0.0,8.8199381109352e-163,3.302560003873054e-06,0.05803333997218016,0
50,0.9995357277394022,4.7581654404802554e-06,0.0,1.3527383365952908e-69,0.00045951409515731584,0.0018428145460697436,0
51,8.868903680520053e-79,0.9912410723276105,6.385210090940194e-276,0.0,0.008758927672389415,1.0262767830171682,1
52,0.9997807357413828,5.552590177480466e-31,0.0,1.89480283200709e-18,0.0002192642586170886,0.00087705703446836,0
53,0.0011117150062335027,2.996082761147365e-14,0.0,3.061930754932564e-109,0.9988882849937366,3.995553139974976,4
54,0.9996792140287379,6.520577010125677e-11,0.0,5.566906084514746e-50,0.00032078590605617087,0.0012831436894304535,0
55,6.135298257231162e-22,0.9993846241818704,1.0113747461139647e-297,0.0,0.0006153758181295264,1.0018461274543884,1
56,0.0,3.4466463422055394e-40,0.0,0.0,1.0,4.0,4
57,5.324199704727706e-05,1.8213441771453957e-39,0.0,4.255425517419371e-158,0.9999467580029527,3.999787032011811,4
58,0.9991089370605571,1.554740974044846e-36,0.0,2.0186064420977722e-39,0.0008910629394429709,0.0035642517577718835,0
59,0.998816970737876,1.1420861207493063e-48,0.0,1.1953944860231485e-92,0.0011830292621239408,0.004732117048495763,0
60,0.9996072243249015,8.865811504594644e-23,0.0,9.194633326897054e-47,0.0003927756750984383,0.0015711027003937532,0
61,0.9996904247050985,1.3697800295845796e-11,0.0,2.246305234128683e-28,0.0003095752812036816,0.0012383011385125268,0
62,0.999834704455481,5.430858418617578e-19,0.0,1.0806407177105099e-24,0.00016529554451908004,0.0006611821780763207,0
63,0.9977005259391972,1.0142505290926286e-46,0.0,1.3072789861652957e-86,0.0022994740608027493,0.009197896243210997,0
64,0.009990709827508626,3.198639469166559e-25,0.0,5.7763231245510626e-98,0.9900092901724913,3.960037160689965,4
65,1.2247703755588343e-08,1.2473310798272915e-23,0.0,2.2418693653385164e-105,0.9999999877522963,3.999999951009185,4
66,7.13627110955554e-05,3.239887268283084e-48,0.0,0.0,0.9999286372889045,3.999714549155618,4
67,0.9997580780852291,3.643080882944241e-32,0.0,3.242986095087083e-40,0.00024192191477096213,0.0009676876590838485,0
68,0.0003324589342856791,2.0994164887602415e-14,0.0,5.4763212860104863e-163,0.9996675410656933,3.998670164262794,4
69,0.9997180241653544,1.4677184662804915e-19,0.0,6.43561322012267e-25,0.0002819758346456349,0.0011279033385825398,0
70,0.9993119179177271,4.037623703182382e-36,0.0,2.273754318584904e-41,0.0006880820822728871,0.0027523283290915483,0
71,0.9997034049862166,3.4172059008297185e-31,0.0,8.67823691904162e-27,0.00029659501378344685,0.0011863800551337874,0
72,0.9998244589292868,7.836093688100946e-36,0.0,2.5634903155438883e-26,0.00017554107071315756,0.0007021642828526302,0
73,0.9994849990827851,3.0987345284202245e-15,0.0,8.608411067939423e-39,0.0005150009172117589,0.002060003668850134,0
74,0.9996345154555747,0.0003288441626783894,0.0,3.6890735776761183e-121,3.6640381746900856e-05,0.0004754056896659928,0
75,0.9986216619330747,6.732639102858514e-13,0.0,5.808104782358347e-58,0.001378338066252004,0.00551335226568128,0
76,0.996365990324489,5.495224167501719e-42,0.0,2.576447663407571e-36,0.003634009675510945,0.01453603870204378,0
77,0.9989291964651261,1.1116568302495907e-44,0.0,5.674453750346143e-31,0.0010708035348738591,0.0042832141394954365,0
78,0.9986672767891646,3.4228518770530666e-46,0.0,2.1400793561480006e-30,0.001332723210835454,0.005330892843341816,0
