day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,29.5,20.5,74.5,0.014,4.17,40.4,374.4,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,23.3,15.2,74.6,0.0,0.0,63.4,518.1,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,21.0,2.8,48.4,0.0,0.0,0.0,547.2,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,14.8,9.2,81.4,0.0,0.0,78.1,427.0,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,22.6,15.5,92.5,0.0,0.0,47.0,519.4,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.3,10.3,89.2,1.081,4.17,60.4,462.6,5.616666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
1,0,0.05462626660800943,0.08220274842885657,0.4037294538908917,0.04589058440936812,0.19856606847371794,0.21498487818915638,25.611901726624016,15.896179954920468,72.20262806304751,0.317975879041312,3.1500689449971877,31.43282372930471,396.734278208619,61.6360705593506,48.73317391823104,5.09071068372032,-0.14010178225243922,5.031521138793267,-40.2217884814829,397.34896687496666,48.73317391823104,42.186141977099076,9.818842977802309,0.5082180082155966,6.182785291097583,-20.1345206773039,342.4303672399966,5.09071068372032,9.818842977802309,117.36709761821291,4.367516079842323,9.832896544115277,32.264350073611126,-132.19811862085953,-0.14010178225243922,0.5082180082155966,4.367516079842323,1.5621681286993592,1.9865904033941844,3.835870730156483,2.5805774757379405,5.031521138793267,6.182785291097583,9.832896544115277,1.9865904033941844,12.075712791696347,17.880842475096728,18.099241488488083,-40.2217884814829,-20.1345206773039,32.264350073611126,3.835870730156483,17.880842475096728,195.09438346069197,-208.2403597989985,397.34896687496666,342.4303672399966,-132.19811862085953,2.5805774757379405,18.099241488488083,-208.2403597989985,4292.780076555528
1,1,0.05462626660800943,0.08220274842885657,0.4037294538908917,0.04589058440936812,0.19856606847371794,0.21498487818915638,21.55605714006534,12.713867968480825,73.08723413918204,0.34445671999679695,2.4109012077806042,52.8548812953622,554.2888510834267,57.22082789949679,47.425920383840946,-23.35516073852207,-1.128254199361326,7.9254541990222425,-55.2156507010178,-164.56020248681855,47.425920383840946,44.906191273704756,-19.28074792002508,-0.8225198803628107,8.901740848750464,-44.09337151559083,-166.76808313687627,-23.35516073852207,-19.28074792002508,96.67360521711016,-3.0475027093010065,-3.5679194215858514,101.86229600983499,421.4052687842679,-1.128254199361326,-0.8225198803628107,-3.0475027093010065,1.4046684201287942,0.7257491440271081,-1.8569640236388245,-5.5964878970214675,7.9254541990222425,8.901740848750464,-3.5679194215858514,0.7257491440271081,12.82204411120089,-15.22754422706528,3.6177158058508407,-55.2156507010178,-44.09337151559083,101.86229600983499,-1.8569640236388245,-15.22754422706528,248.81466400218818,602.8933835399953,-164.56020248681855,-166.76808313687627,421.4052687842679,-5.5964878970214675,3.6177158058508407,602.8933835399953,8382.170700098539
1,2,0.05462626660800943,0.08220274842885657,0.4037294538908917,0.04589058440936812,0.19856606847371794,0.21498487818915638,25.620783491688275,12.1990042060374,60.556051372270765,0.04768108761263102,0.9433086707015234,5.926301172527541,559.4874227135557,92.72473218342647,72.54834422508115,-23.23511329807691,-0.2991348458611747,-2.186692069019444,-2.0571178332440163,-97.64558589689372,72.54834422508115,66.30027632102028,-22.17833521945526,-0.22537901795547371,-0.27123447125119254,7.742966904005487,-100.92078259718349,-23.23511329807691,-22.17833521945526,127.53433456735385,0.010092971923865433,0.48416214377572947,6.439241993166551,185.68973639366254,-0.2991348458611747,-0.22537901795547371,0.010092971923865433,0.03893896606440758,0.19825804249982154,0.06607813763751412,-0.4699719911152846,-2.186692069019444,-0.27123447125119254,0.48416214377572947,0.19825804249982154,4.454712973258923,1.7561104057227521,-24.203982503211172,-2.0571178332440163,7.742966904005487,6.439241993166551,0.06607813763751412,1.7561104057227521,54.186384837404205,-84.89958967821376,-97.64558589689372,-100.92078259718349,185.68973639366254,-0.4699719911152846,-24.203982503211172,-84.89958967821376,4080.819898225244
1,3,0.05462626660800943,0.08220274842885657,0.4037294538908917,0.04589058440936812,0.19856606847371794,0.21498487818915638,14.877402396670464,9.530903181318127,90.58035429514578,5.599064633994833,6.358416179981955,83.0315568287606,418.80147129454383,12.698201928865638,8.228460624249193,-6.6206958109984795,-3.8466473177756177,-4.308831940353428,-11.726933697832152,21.384874044026574,8.228460624249193,7.567208740582078,-1.852022364556959,5.584700504432865,-1.7497389861226924,-2.6972309032641277,32.67080585001663,-6.6206958109984795,-1.852022364556959,26.43789971223938,19.036170531125066,8.062227081626693,7.082425084140648,-63.49860572616947,-3.8466473177756177,5.584700504432865,19.036170531125066,122.68389233822197,37.46650600930455,21.702109864989232,-80.78149713563168,-4.308831940353428,-1.7497389861226924,8.062227081626693,37.46650600930455,21.871379441306487,3.845662442065147,-78.0279244948359,-11.726933697832152,-2.6972309032641277,7.082425084140648,21.702109864989232,3.845662442065147,40.99237118449654,60.823959953012405,21.384874044026574,32.67080585001663,-63.49860572616947,-80.78149713563168,-78.0279244948359,60.823959953012405,2255.813661231079
