day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
0,0.0,6.635727210881191e-163,3.333394582816717e-33,1.0,3.0,3
1,0.9996029254598068,2.0666910551018722e-71,9.147365724504316e-07,0.00039615980362075744,0.0011903088840071732,0
2,5.7815017767001685e-09,7.141886004408771e-72,0.006132176444941547,0.9938678177735567,2.9938678062105533,3
3,5.836278960660039e-15,5.065355220361538e-56,0.008076014217759563,0.9919239857822346,2.9919239857822233,3
4,0.0,4.063033868366565e-295,0.03002541187592028,0.9699745881240797,2.9699745881240793,3
5,0.0,0.0,0.550464829641731,0.4495351703582689,2.449535170358269,2
6,2.4472186282107138e-135,6.5817514551718105e-74,0.0006517477271536592,0.9993482522728463,2.999348252272846,3
7,0.0,1.13081404776353e-68,2.4124056726532507e-06,0.9999975875943273,2.999997587594327,3
8,0.0,0.0,0.07906359472696564,0.9209364052730343,2.920936405273034,3
9,0.9939584651511312,9.731371901089197e-67,2.777460908568592e-05,0.006013760239783129,0.018096829937520757,0
10,6.944076905147057e-31,3.949133776792217e-65,0.003178918911753489,0.9968210810882465,2.9968210810882465,3
11,2.290833723563177e-06,0.9999977091381947,2.794167321781827e-11,1.4002697326967243e-13,0.9999977091944982,1
12,3.139245909120839e-32,2.5815111224013555e-62,0.00022298956568409767,0.9997770104343159,2.9997770104343155,3
13,0.0,1.9434904568149816e-223,2.4727244768620044e-05,0.9999752727552315,2.999975272755232,3
14,0.9996662618965911,1.2192168044373487e-63,8.12973482261844e-09,0.0003337299736739863,0.001001206180491604,0
15,1.4091229164559207e-166,9.408049900815532e-84,1.3061314491595706e-05,0.9999869386855085,2.9999869386855083,3
16,0.0,1.28973534122648e-83,3.003594242330854e-10,0.9999999996996406,2.9999999996996407,3
17,1.3003288265408027e-28,6.973152424772669e-61,7.757376189614148e-05,0.9999224262381039,2.9999224262381037,3
18,0.9998194869329612,1.272724392617569e-58,7.922258978802151e-09,0.0001805051447799278,0.0005415312788577411,0
19,0.0,0.0,0.0006497178797667266,0.9993502821202334,2.999350282120233,3
20,0.0,3.8754712750636255e-104,1.5191003078582247e-11,0.9999999999848089,2.9999999999848086,3
21,0.9998973683157978,2.6070549050439854e-27,1.6647048891991513e-10,0.0001026315177317293,0.00030789488613616576,0
22,3.7297235190124193e-08,0.9999999627027493,1.2748108721538461e-14,2.769266859636553e-15,0.9999999627027831,1
23,3.2060079262763496e-98,0.9999999999961479,4.377312627601101e-14,3.808328775697394e-12,1.0000000000076605,1
24,1.0384189897790464e-07,0.999999896157989,9.572059734088315e-14,1.6277499759052304e-14,0.9999998961582293,1
25,3.4841187953508406e-31,0.9999999999999843,1.571078131529509e-14,5.012060180320059e-23,1.0000000000000158,1
26,8.000604918492332e-50,0.9999999999998118,1.8819611694047284e-13,1.4692837837066143e-20,1.0000000000001883,1
