day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,weighted_mean,max
0,0.0,0.0,3.2403479360166135e-162,5.805268474789928e-89,0.0,1.0,5.0,5
1,0.0,0.9995526468365421,2.3635305893818803e-70,3.382235697494869e-239,2.8324924109644227e-05,0.0004190282393481376,1.0017610877297214,1
2,0.0,0.9787223903670295,1.7327049974144032e-72,3.7861897425852513e-118,0.0009479965875188942,0.020329613045451608,1.0841624419443632,1
3,0.0,0.989868133298072,3.246740264918728e-57,1.341858066288473e-46,0.0037703837716309436,0.006361482930297061,1.036757083036081,1
4,0.0,0.0,8.494978158811246e-295,1.673457033677263e-11,0.9860396675444049,0.013960332438860577,4.013960332422126,4
5,5.522740644155732e-77,0.0,0.0,7.927690100428577e-252,0.9640888903965735,0.03591110960342658,4.035911109603427,4
6,8.351693311969757e-184,1.282187759216869e-06,5.1751711601103745e-73,0.0,0.0006704531426923998,0.9993282646695484,4.999324418106271,5
7,2.2568685001231003e-256,1.9820178820433434e-67,3.055406053943138e-69,0.0,4.634284049759118e-05,0.9999536571595025,4.9999536571595025,5
8,8.83531030439932e-15,0.0,0.0,0.0,0.02008234997001876,0.9799176500299724,4.979917650029937,5
9,1.6042113121653618e-50,0.9927064172247669,1.0518442259699307e-65,0.0,0.0015875088873952587,0.005706073887837779,1.027586822213537,1
10,2.2514434029963082e-260,0.9963170740948439,2.869722933258974e-66,0.0,8.389368096270027e-05,0.0035990322241933243,1.0146478099396614,1
11,0.0,8.30464916908134e-08,0.9999999169419772,0.0,1.1498518304534089e-11,3.2492710760920355e-14,1.9999999169766027,2
12,0.0,0.9260346746672481,2.8895863427579777e-62,0.0,1.1634225957837469e-05,0.07395369110679419,1.2958496671050503,1
13,3.7572244687184772e-208,2.475892427183836e-292,5.220478511935739e-223,0.0,7.906340399607644e-07,0.9999992093659601,4.999999209365961,5
14,4.283329220064539e-223,0.9985682434297214,1.0673571706846692e-62,0.0,2.555541969617438e-09,0.0014317540147367135,1.0057270237255729,1
15,0.0,6.222015233735619e-50,2.614012139155036e-83,0.0,3.341486004986691e-32,1.0,5.0,5
16,0.0,1.5344574640636093e-113,2.5373072969368132e-83,0.0,5.3743467796255215e-73,1.0,5.0,5
17,0.0,0.0076489818891480555,1.702221967857047e-60,0.0,7.910658272203888e-07,0.9923502270450247,4.969403281377581,5
18,1.062483793537818e-183,0.999194481024095,1.4850840064510755e-57,0.0,2.3906216774051465e-08,0.000805495069688245,1.0032220519974033,1
19,9.312425654142812e-126,0.0,0.0,0.0,3.712930382307974e-17,1.0,5.0,5
20,0.0,1.658905246825099e-168,2.448881854951789e-103,0.0,8.639782933704167e-103,1.0,5.0,5
21,0.0,0.9992856214977883,1.5136574765355485e-26,0.0,1.8730214231003393e-08,0.0007143597719975467,1.002857495278633,1
22,0.0,1.840074307326033e-09,0.9999999981598988,0.0,1.2513927460391955e-14,1.4402042576461784e-14,1.9999999981599939,2
23,0.0,1.9971130868606334e-35,0.9999999999929144,0.0,5.21075950197995e-43,7.085572178421823e-12,2.0000000000212568,2
