day,cluster,cluster0,cluster1,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.5,0.5,23.1,15.6,0.0,13.2,10.0,1015.1,535.3,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.050000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.45
0,1,0.5,0.5,11.8,13.0,0.0,0.0,10.0,1027.2,547.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.050000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.45
1,0,0.7822330609071536,0.21776693909284636,18.722121014763864,15.92419457328933,2.2693337175494186,39.014459466288066,9.616873461803692,1015.1257650346784,504.6744894572432,54.32435382566644,26.90205705313078,-10.268610154990924,-155.12206006039278,2.799087373299162,-0.28072398006477495,163.71914289080348,26.90205705313078,55.25966187154854,-0.41156788566668145,-86.18601313047395,2.3770008665953943,-13.85004220431893,62.2440271025019,-10.268610154990924,-0.41156788566668145,62.755613873964684,67.58680355133134,-2.045569491022972,-19.59340774156576,-85.54988581971071,-155.12206006039278,-86.18601313047395,67.58680355133134,834.5003372921581,-14.480671108601959,-25.807999390373055,-709.6474104039396,2.799087373299162,2.3770008665953943,-2.045569491022972,-14.480671108601959,1.1117762572886858,0.708575997349112,7.926600179146541,-0.28072398006477495,-13.85004220431893,-19.59340774156576,-25.807999390373055,0.708575997349112,40.626377826365086,44.087565167242886,163.71914289080348,62.2440271025019,-85.54988581971071,-709.6474104039396,7.926600179146541,44.087565167242886,4081.307136675444
1,1,0.7822330609071536,0.21776693909284636,10.101944252697212,11.66261936084619,0.07659352347636107,10.216829205335367,9.808622840091136,1024.808049909725,577.088356433037,25.58624408192177,24.667584940128805,-0.12897660824898324,-22.457111550889152,0.7440148721814108,-8.029022347224695,-17.106618684148582,24.667584940128805,62.43539850352109,-0.1100262290334061,-49.33317754187332,1.2835099383788442,-6.407682347745211,-169.10060150588706,-0.12897660824898324,-0.1100262290334061,0.11312273658043132,0.10862273693110208,0.008400380953798775,-0.020159709517355132,-2.3002150870204856,-22.457111550889152,-49.33317754187332,0.10862273693110208,300.20677016078383,-4.618065398113147,20.519594145395164,307.8933315694034,0.7440148721814108,1.2835099383788442,0.008400380953798775,-4.618065398113147,0.3554179954079263,-0.42858121330546545,-3.1528185177883907,-8.029022347224695,-6.407682347745211,-0.020159709517355132,20.519594145395164,-0.42858121330546545,31.3618176874745,-41.04067456216665,-17.106618684148582,-169.10060150588706,-2.3002150870204856,307.8933315694034,-3.1528185177883907,-41.04067456216665,7320.110379648529
2,0,0.682013243538982,0.3179867564610179,19.025816068950036,15.76155188250473,2.608435216512684,41.400868716151905,9.560285690460486,1014.620488602221,500.5009662455612,56.935858191132155,27.78454636250803,-12.617916030695657,-175.15220490426665,3.4015055735599984,1.2979895363861218,168.22302200314908,27.78454636250803,52.31943977944671,-0.037678400720696316,-84.94991344474252,2.640702161969561,-15.17271995404902,43.6146148144334,-12.617916030695657,-0.037678400720696316,71.10431428665197,71.16749619489637,-2.196093160855896,-21.089710721615813,-86.89905457304178,-175.15220490426665,-84.94991344474252,71.16749619489637,856.275030580557,-15.402140707013686,-20.4907797807723,-799.9318239103804,3.4015055735599984,2.640702161969561,-2.196093160855896,-15.402140707013686,1.273409747112641,0.5493208265427219,8.132168823618658,1.2979895363861218,-15.17271995404902,-21.089710721615813,-20.4907797807723,0.5493208265427219,42.15460303902846,56.48529393235659,168.22302200314908,43.6146148144334,-86.89905457304178,-799.9318239103804,8.132168823618658,56.48529393235659,3042.560883245306
2,1,0.682013243538982,0.3179867564610179,12.167402887305286,13.354572713116271,0.040379149207511164,14.174637217481402,9.869557836320654,1022.8401956183574,563.2170038341318,36.76835291292555,31.89946725450785,-0.17244356279682121,-15.678478579630374,0.6608228373455237,-15.235947989933026,-10.812451904376566,31.89946725450785,72.2574933063035,-0.21684139101723543,-42.55113476039296,1.1325141935650245,-14.526835045266623,-118.59206665258199,-0.17244356279682121,-0.21684139101723543,0.027847029856308776,-0.16248197717406432,0.00032896206166005654,0.04334597843580241,-0.8609379078832219,-15.678478579630374,-42.55113476039296,-0.16248197717406432,360.5988113628383,-2.965419310474309,-2.2235569046412933,228.27387569237615,0.6608228373455237,1.1325141935650245,0.00032896206166005654,-2.965419310474309,0.20159251664321315,-0.46781959773564824,-5.8920518344187665,-15.235947989933026,-14.526835045266623,0.04334597843580241,-2.2235569046412933,-0.46781959773564824,35.14453247545131,-16.79017251711347,-10.812451904376566,-118.59206665258199,-0.8609379078832219,228.27387569237615,-5.8920518344187665,-16.79017251711347,8653.731273700707
3,0,0.42656701168469563,0.5734329883153044,17.168352748261864,14.81319345458592,4.166486927204324,50.66626588727025,9.280625142443474,1013.9807916314566,491.26834739123575,59.82717404210135,28.157309499818638,-12.572379091269308,-172.64881723517442,4.495730410904118,-0.10141550943889803,132.80691790598337,28.157309499818638,54.878953770546985,3.7601498482015336,-77.51997596510769,3.841458877625534,-20.296634268909024,14.188177715893246,-12.572379091269308,3.7601498482015336,107.21422358136391,74.90975146164645,-2.347832986770479,-30.9015868365231,-100.72446569407495,-172.64881723517442,-77.51997596510769,74.90975146164645,876.0405076980724,-17.684976363696194,-34.16089132918545,-765.8154685335259,4.495730410904118,3.841458877625534,-2.347832986770479,-17.684976363696194,1.9026060132152827,0.0987500534372548,5.6217454775847004,-0.10141550943889803,-20.296634268909024,-30.9015868365231,-34.16089132918545,0.0987500534372548,58.10255478429918,88.0416604039508,132.80691790598337,14.188177715893246,-100.72446569407495,-765.8154685335259,5.6217454775847004,88.0416604039508,2391.7459571864347
3,1,0.42656701168469563,0.5734329883153044,16.604343966062682,15.132273334369748,0.025358707635737835,19.410690115995735,9.93982159999882,1019.6544361726324,542.1469832906411,61.25545495797225,36.10918837726461,-0.08556445354851734,-25.48047344207185,0.4241276781476968,-26.78518751299942,-55.14684654965168,36.10918837726461,63.61942187046003,-0.06078605970487174,-37.92685212216565,0.5398842526926371,-19.25771687482775,-88.4606652222373,-0.08556445354851734,-0.06078605970487174,0.00762541754448779,0.05999703754993746,-0.0011564285173027123,-0.032813852799457886,0.059892343564707,-25.48047344207185,-37.92685212216565,0.05999703754993746,430.33156719940257,-1.203167047410141,-9.18518527547362,-222.5744639982043,0.4241276781476968,0.5398842526926371,-0.0011564285173027123,-1.203167047410141,0.06181871663273605,-0.31349726355049384,-4.748233016334304,-26.78518751299942,-19.25771687482775,-0.032813852799457886,-9.18518527547362,-0.31349726355049384,38.22500085741142,64.20540004155265,-55.14684654965168,-88.4606652222373,0.059892343564707,-222.5744639982043,-4.748233016334304,64.20540004155265,7021.602678885136
4,0,0.2516361502541595,0.7483638497458406,12.896180786560839,13.612807712542493,7.064226653689213,60.98710815960971,8.75823190683052,1013.1400211001908,483.1310016145628,30.498861459342166,20.279252916875205,8.643743123658291,-41.84296529702533,2.592412321807634,-5.61199382139913,-9.813757127213204,20.279252916875205,61.88372508987147,14.702088330338663,-20.909804724081734,5.336753823863608,-26.686307367360296,-75.00238655888697,8.643743123658291,14.702088330338663,161.27935591017697,53.597767595608595,-0.29227623380436274,-46.346539555708866,-112.08198931083699,-41.84296529702533,-20.909804724081734,53.597767595608595,610.9809301631365,-15.958453998149404,-68.96655883071499,-604.0452036741567,2.592412321807634,5.336753823863608,-0.29227623380436274,-15.958453998149404,2.635171213440586,-1.3045955541139433,-3.9201138319172273,-5.61199382139913,-26.686307367360296,-46.346539555708866,-68.96655883071499,-1.3045955541139433,82.5902168584641,137.76503666069542,-9.813757127213204,-75.00238655888697,-112.08198931083699,-604.0452036741567,-3.9201138319172273,137.76503666069542,2987.7232077945505
4,1,0.2516361502541595,0.7483638497458406,18.172692635215153,15.46131585666111,0.01899156086698285,23.246348102895304,9.961387605040128,1018.6109233578841,532.9902165065537,63.88121870988169,34.386212404110665,-0.020452110326039115,-47.99181462939377,0.2968307061849677,-27.004891104832467,-38.83707690848467,34.386212404110665,58.39442641439575,-0.0016380962610550614,-51.92144562727002,0.31794051432095727,-19.30512248760799,-52.361986548154334,-0.020452110326039115,-0.0016380962610550614,0.0031679176572490127,0.1202889912756427,-0.0001332333368622903,-0.035659063837992944,-0.15442617191464023,-47.99181462939377,-51.92144562727002,0.1202889912756427,584.5303834776322,-0.9444605770767046,-9.32555965617819,-450.2233235274076,0.2968307061849677,0.31794051432095727,-0.0001332333368622903,-0.9444605770767046,0.02354870898393159,-0.17915929212742387,-3.248608089131665,-27.004891104832467,-19.30512248760799,-0.035659063837992944,-9.32555965617819,-0.17915929212742387,37.627389514543914,78.77050686830036,-38.83707690848467,-52.361986548154334,-0.15442617191464023,-450.2233235274076,-3.248608089131665,78.77050686830036,5959.531944258712
