day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
0,9.260297280353894e-53,0.0,1.0,1.1353075453913353e-45,2.0,2
1,0.05256568378106956,7.996217086823425e-05,1.4717563439877795e-08,0.9473543393304987,2.8421430095974913,3
2,0.02697471242951043,0.0006966490012046161,1.1666844146961008e-07,0.9723285219008435,2.917682448040618,3
3,0.11424945909089504,0.0021010798919989205,2.0796936914703567e-05,0.8836286640801914,2.653028666006402,3
4,0.3593192975887255,0.6406759804722995,4.7219389748752076e-06,3.02443460186682e-125,0.6406854243502492,1
5,4.608393132292375e-07,0.9999907424883462,8.796672340696343e-06,0.0,1.0000083358330276,1
6,0.9636402902829669,1.0411747303493292e-07,4.433860883849055e-22,0.03635960559956008,0.10907892091615326,0
7,0.9999999967425233,3.2574768622970093e-09,3.31589679794523e-26,5.8965261502030126e-24,3.257476862297027e-09,0
8,0.9950748767415251,0.004908392444818192,1.6730813656800567e-05,0.0,0.0049418540721317935,0
9,0.07955365725315938,0.0005648377969354733,2.604761568665172e-11,0.9198815049238576,2.7602093526206035,3
10,0.03155785766211583,1.4152552875235296e-07,2.5777124251539472e-30,0.9684420008123555,2.9053261439625953,3
11,0.9541256772881783,3.9981793701382886e-13,1.1321512006656395e-63,0.04587432271142187,0.13762296813466543,0
12,0.0828877974187283,5.782681723967973e-08,1.9221257965132166e-33,0.9171121447544545,2.7513364920901804,3
13,0.9999999966596378,3.3403622020229485e-09,4.120623577616628e-25,4.375952456831867e-106,3.3403622020229493e-09,0
14,0.0009192717744348299,7.281513681373855e-12,2.0630685585919413e-25,0.9990807282182836,2.9972421846621327,3
15,0.0014251390186519237,6.549007249206503e-25,0.010331380466854867,0.9882434805144933,2.9853932024771894,3
16,1.4153475687021357e-05,1.2915941539471874e-61,3.209659788568868e-08,0.9999858144277151,2.9999575074763407,3
17,0.013131518903066203,1.9056244803353005e-09,2.143550481972792e-17,0.9868684791913094,2.960605439479553,3
18,0.0032584524151928955,7.473415210140771e-09,8.658236898373185e-20,0.9967415401113919,2.990224627807591,3
19,0.9949617323764345,1.2920034569926014e-13,0.005038267623436366,0.0,0.010076535247001932,0
20,4.6279493922923835e-07,4.161079203215907e-86,7.622965874759779e-06,0.999991914239186,2.9999909886493072,3
21,0.029982344304452072,8.112473989568634e-11,2.881817212512991e-31,0.9700176556144232,2.9100529669243946,3
22,0.99884375149636,1.0517146671132791e-15,3.1229070896015773e-45,0.0011562485036387955,0.003468745510917438,0
23,0.9839400566880517,3.26035377747655e-42,2.6679408716554814e-48,0.016059943311948287,0.04817982993584486,0
24,0.9989708856434591,2.0479369875749846e-14,1.6227417614490853e-47,0.0010291143565205128,0.0030873430695820174,0
25,0.9999992029909488,1.5451809929150966e-26,1.8192553840136706e-29,7.970090511684273e-07,2.3910271535052816e-06,0
26,0.9999942483647615,2.2928092676300072e-30,1.1939844081217163e-26,5.751635238475677e-06,1.725490571542703e-05,0
27,0.977334844175301,3.1416549028729245e-09,8.856343400130017e-20,0.022665152683044067,0.06799546119078712,0
28,0.9987989927522086,4.4739599870866294e-14,5.748619965982965e-46,0.0012010072477466349,0.003603021743284644,0
29,0.9999968000980497,4.087436813974085e-19,5.462028977100798e-27,3.1999019502458023e-06,9.599705850737816e-06,0
30,0.9999948988911159,5.1215920052785954e-24,3.950948534622939e-25,5.101108884022972e-06,1.5303326652068918e-05,0
31,0.9993393869898657,1.190113122488159e-14,7.982059020933735e-59,0.0006606130101223464,0.0019818390303789402,0
32,0.9997329960255554,5.1740590565036064e-15,1.0323375811848525e-45,0.0002670039744393945,0.0008010119233233576,0
33,0.007922113379732112,3.1653849962285223e-52,1.0818684641044691e-13,0.9920778866201597,2.9762336598606955,3
34,0.005182555846302247,0.0014690994214700275,1.3400589839802472e-11,0.993348344718827,2.9815141336047524,3
35,2.498643904973986e-13,1.3616735778180206e-86,0.9999999999997501,2.8985866079358863e-25,1.9999999999995002,2
36,0.006346084765705711,5.855890508611082e-07,6.905637696703249e-20,0.9936533296452434,2.980960574524781,3
37,0.22761557430377555,0.021459823234337143,1.2606074243489377e-05,0.7509119963876438,2.2742210245457555,3
38,0.0061937214550103915,1.971335092927241e-10,7.447165430818603e-27,0.9938062783478561,2.9814188352407016,3
39,0.009641195886823575,5.138694445765937e-07,1.3384206792400265e-18,0.9903582902437318,2.97107538460064,3
40,0.013627285292866484,3.380962364528549e-05,1.2498884816779904e-09,0.9863389038335998,2.9590505236242217,3
41,0.0047281931282027925,5.195984365939301e-05,1.691438354662009e-07,0.9952196778843024,2.9857113317842376,3
42,0.01166723151433604,6.263978050968382e-05,2.889441557131349e-14,0.9882701287051254,2.9648730258959435,3
43,0.005127380787471501,1.0877280278169583e-05,8.555050276492631e-10,0.9948617410767453,2.9845961022215244,3
