day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.2,0.2,0.2,0.2,0.2,23.5,16.7,0.199,42.0,10.0,1014.1,509.7,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,1,0.2,0.2,0.2,0.2,0.2,11.8,13.0,0.0,0.0,10.0,1027.2,547.2,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,2,0.2,0.2,0.2,0.2,0.2,12.0,9.4,0.0,78.1,10.0,1026.5,427.0,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,3,0.2,0.2,0.2,0.2,0.2,16.1,9.5,0.0,39.0,10.0,1017.1,530.9,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,4,0.2,0.2,0.2,0.2,0.2,14.8,20.5,0.0,21.8,10.0,1015.2,546.7,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
1,0,0.1767851819689427,0.2005996173981668,0.19752600276269608,0.16045292072460102,0.2646362771455934,21.717243338623128,20.134032007247153,1.5352820714600737,38.30747986783047,9.909055589174963,1012.5156775267585,481.7738517864748,27.85548376372733,-0.78709551552138,-6.0378979642789,-66.79264437260393,0.41395503495273167,2.618152420612981,-3.704230087802346,-0.78709551552138,55.92373559798119,2.4194790226293024,9.412489378012488,-0.19141203680434296,-13.262374250131987,-6.444470974368199,-6.0378979642789,2.4194790226293024,21.396449192845616,18.743747101104375,-0.1506066165785018,-6.7028739017894665,-8.246025652282434,-66.79264437260393,9.412489378012488,18.743747101104375,341.18600469300065,-1.792272745778245,-8.497174590902684,97.38647061009208,0.41395503495273167,-0.19141203680434296,-0.1506066165785018,-1.792272745778245,0.1538263722319116,0.06805082890596938,-1.7616777561936616,2.618152420612981,-13.262374250131987,-6.7028739017894665,-8.497174590902684,0.06805082890596938,26.779800441009595,5.992105794596331,-3.704230087802346,-6.444470974368199,-8.246025652282434,97.38647061009208,-1.7616777561936616,5.992105794596331,905.4973189521462
1,1,0.1767851819689427,0.2005996173981668,0.19752600276269608,0.16045292072460102,0.2646362771455934,12.266777634344095,12.453300145941393,0.04753131726840753,3.1474717746064966,9.956245004249201,1023.9682839650113,569.566182696461,43.81423602123924,25.05730156418362,-0.25732472292909725,-5.936192287098523,0.22140276769858272,-15.31001454734815,-90.1988774540613,25.05730156418362,50.78203688116328,-0.3067989116417621,-13.810874014417015,0.3447695018591221,-4.515597006487232,-150.47282672151508,-0.25732472292909725,-0.3067989116417621,0.03712335697123824,-0.09586651469252808,0.0011937809616947967,0.039759893062818324,-1.403464223247312,-5.936192287098523,-13.810874014417015,-0.09586651469252808,25.824743791639047,-0.2149730183177051,8.818978112403268,15.098690556837438,0.22140276769858272,0.3447695018591221,0.0011937809616947967,-0.2149730183177051,0.03835082273772847,-0.23182377507994856,-5.278953624489491,-15.31001454734815,-4.515597006487232,0.039759893062818324,8.818978112403268,-0.23182377507994856,32.43410721818562,-1.6222181589022098,-90.1988774540613,-150.47282672151508,-1.403464223247312,15.098690556837438,-5.278953624489491,-1.6222181589022098,5990.572932967623
1,2,0.1767851819689427,0.2005996173981668,0.19752600276269608,0.16045292072460102,0.2646362771455934,12.243125529076593,11.482142274898315,5.821449374612562,73.92821904549628,8.861839478632827,1014.5312818023814,445.7648556489732,15.80726186397437,9.731114223728031,2.8435065056131434,-13.128524319092111,1.1128707663924289,2.1936840827071706,-21.103133362261843,9.731114223728031,40.136400375701626,21.566608159591137,-12.510632195484568,2.28360120271776,-24.116197341029032,-105.51675597637684,2.8435065056131434,21.566608159591137,173.15383566024917,34.34657924002626,-3.6127033824763006,-59.23314106656518,-15.660731446107656,-13.128524319092111,-12.510632195484568,34.34657924002626,249.27089997766376,-11.331634936731623,-38.147911163776214,589.4162860256952,1.1128707663924289,2.28360120271776,-3.6127033824763006,-11.331634936731623,2.937647280926801,1.7460823266282925,-29.599808126824342,2.1936840827071706,-24.116197341029032,-59.23314106656518,-38.147911163776214,1.7460823266282925,84.48817695579743,25.384402673310635,-21.103133362261843,-105.51675597637684,-15.660731446107656,589.4162860256952,-29.599808126824342,25.384402673310635,3643.8465973240222
1,3,0.1767851819689427,0.2005996173981668,0.19752600276269608,0.16045292072460102,0.2646362771455934,11.120587482794607,8.516154175397277,1.3764664452240627,47.69532686871226,9.464938780663742,1019.7740367407486,536.4002865563654,18.728678341826072,1.6842635848799916,0.2583677535166976,-13.595212457756192,1.2956330327825205,4.311637487650434,-35.43697031958551,1.6842635848799916,14.362454473343865,4.998005250581455,-7.999260973479012,1.1066151471073966,-9.582743483421467,-69.57830913122284,0.2583677535166976,4.998005250581455,19.050001830534203,22.951103911057892,-0.5525893124680353,-9.71248926233218,-5.128674609036329,-13.595212457756192,-7.999260973479012,22.951103911057892,287.0600096227424,-2.0468475937943214,-23.229170459524788,526.6795916843855,1.2956330327825205,1.1066151471073966,-0.5525893124680353,-2.0468475937943214,0.8741749169546896,0.47736292734558866,0.5228828556036035,4.311637487650434,-9.582743483421467,-9.71248926233218,-23.229170459524788,0.47736292734558866,46.18766931350471,61.649464312861895,-35.43697031958551,-69.57830913122284,-5.128674609036329,526.6795916843855,0.5228828556036035,61.649464312861895,4411.16598525696
1,4,0.1767851819689427,0.2005996173981668,0.19752600276269608,0.16045292072460102,0.2646362771455934,23.965978779438682,20.043265445261156,0.5295261393046082,11.654151014795236,9.977907149555618,1015.7594557299948,555.1070248162159,36.357809853746296,0.6629302125162732,-0.1724326625740672,-27.33349556681264,0.2965185738677511,-6.796174408144676,24.505971408231662,0.6629302125162732,29.20428115255876,-2.977006096392758,-0.9231542396854865,0.29922703194808614,2.82937258185067,4.783093091610391,-0.1724326625740672,-2.977006096392758,17.40284256634225,3.606587790162913,0.0083055643918405,-2.0471240861143274,-4.894257466085759,-27.33349556681264,-0.9231542396854865,3.606587790162913,108.93757771887894,-0.36943881281195434,0.24668964555181702,105.42976054953778,0.2965185738677511,0.29922703194808614,0.0083055643918405,-0.36943881281195434,0.04028706035962886,-0.09380308604255266,-1.491384805648869,-6.796174408144676,2.82937258185067,-2.0471240861143274,0.24668964555181702,-0.09380308604255266,11.908872926705136,-7.996625419227493,24.505971408231662,4.783093091610391,-4.894257466085759,105.42976054953778,-1.491384805648869,-7.996625419227493,2576.034508474627
