day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
0,0.0,7.295818515689244e-137,0.9999999999981998,1.8002935941925152e-12,0.0,2.0000000000018003,2
1,3.731656431858796e-05,8.907529154046746e-270,1.164875053355357e-13,1.1382226225623502e-05,0.9999513012093393,3.999839351516267,4
2,0.593934101532708,3.407261480671642e-161,1.300280588435232e-06,0.4060645981867036,0.0,1.2181963951212877,0
3,0.7926095339592983,1.0020905517718658e-59,0.0003070050031063153,0.20708346103759523,0.0,0.6218643931189983,0
4,0.9978427712776027,1.9849635315849898e-21,4.588553319670664e-07,0.0021567698670654526,0.0,0.006471227311860292,0
5,0.9895206144449972,1.4768353584710478e-07,8.412598161482361e-12,0.01047923786305436,0.0,0.031437861289524124,0
6,6.0412475539899366e-05,4.379949951717898e-82,1.348438111596604e-30,0.9999395875244601,2.3070081961329304e-40,2.9998187625733803,3
7,4.610954406082525e-06,1.3630639469570134e-34,1.5257087204575124e-50,0.9999953890455939,2.330247038697414e-288,2.9999861671367816,3
8,0.0001557008709961424,0.9945242963654315,2.1710087395306313e-16,0.005320002763572136,0.0,1.0104843046561482,1
9,5.299514645358504e-06,8.412759735286805e-25,3.3646170229780075e-20,7.67432159110316e-06,0.9999870261637636,3.9999711276198275,4
10,0.0020793384960587588,1.4757712097372348e-63,2.0281183302558638e-30,0.9979058346450901,1.4826858851087884e-05,2.9937768113706746,3
11,1.6803768955225992e-14,5.3166443598653083e-20,1.5157391967058594e-82,4.676229342596767e-06,0.9999953237706405,3.9999953237705896,4
12,0.00029020875534389596,6.0512856341479945e-174,1.8900349563025166e-35,0.999708375970832,1.4152738241565168e-06,2.9991307890077925,3
13,1.4450476514607276e-06,1.899788252406738e-194,1.0089954960040468e-40,0.9999985549523486,0.0,2.9999956648570456,3
14,3.027840487667578e-07,3.8983256261681817e-140,9.627612857113686e-42,0.9999996972159513,0.0,2.9999990916478536,3
15,1.9475665039374818e-40,4.67849299773881e-129,6.894501059515029e-09,0.9999999931054989,0.0,2.9999999931054986,3
16,4.6420815990855363e-97,3.547106936764287e-93,2.49780477680532e-21,1.0,0.0,3.0,3
17,1.1118563898823183e-07,3.2539118859678064e-156,2.2642830417759676e-26,0.999999888814361,0.0,2.999999666443083,3
18,5.955703156992326e-10,3.9004541217158094e-157,4.969738317820074e-38,1.2183008148198271e-06,0.9999987811036148,3.9999987793169036,4
19,8.337622210663755e-17,2.5074359538307582e-74,6.605800129661486e-07,0.9999993394199869,0.0,2.999999339419986,3
