day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,24.9,23.3,0.014,40.4,10.0,1012.7,374.4,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.8,15.6,0.0,63.4,10.0,1019.5,518.1,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,11.8,13.0,0.0,0.0,10.0,1027.2,547.2,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0,9.4,0.0,78.1,10.0,1026.5,427.0,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.0,6.5,0.0,47.0,8.9,1022.0,519.4,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
0,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,13.6,20.6,1.081,60.4,9.7,1011.9,462.6,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.793333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81666666666666
1,0,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,19.47837955705704,17.04152091946186,0.594145777202293,32.816813144033226,9.869511260158049,1015.3569787922987,381.21450809907066,57.38909615232636,33.17237374198842,-2.6455665224376177,-63.82478669661268,1.1151643224984693,-22.300911326884673,440.9027384268528,33.17237374198842,42.13994716049122,-1.7675588042687462,-7.2234362355078305,1.000134824839909,-22.398348959535554,278.4973779388053,-2.6455665224376177,-1.7675588042687462,2.411992901681889,15.804092517611428,-0.4803518572622839,-0.319999145547027,-24.20251572515269,-63.82478669661268,-7.2234362355078305,15.804092517611428,316.13062830336963,-4.541640761018354,4.775143082430925,-571.7511420523879,1.1151643224984693,1.000134824839909,-0.4803518572622839,-4.541640761018354,0.15833755597718444,-0.2453813898996356,10.79371074062045,-22.300911326884673,-22.398348959535554,-0.319999145547027,4.775143082430925,-0.2453813898996356,26.177240578837512,-268.1942041615299,440.9027384268528,278.4973779388053,-24.20251572515269,-571.7511420523879,10.79371074062045,-268.1942041615299,4862.08478597244
1,1,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,14.05917034720051,12.158427284270736,3.258103370736906,68.56489952469187,9.04028685518133,1016.7804214340721,542.9456030838916,25.227543740488883,23.941598717256422,-3.0426462602690862,-44.25668759423466,2.7683435397293246,-7.1339466872361745,-99.02349217233265,23.941598717256422,45.62133389269186,1.6088386391938052,-66.35939655222407,2.707826820240894,-18.18313992498123,-75.60183690415033,-3.0426462602690862,1.6088386391938052,48.01278813363488,13.50410775675913,-1.7886359243979812,-20.402257906173777,-50.33729352814882,-44.25668759423466,-66.35939655222407,13.50410775675913,204.2255009859866,-10.173011504874705,24.271686312383608,172.53803307884573,2.7683435397293246,2.707826820240894,-1.7886359243979812,-10.173011504874705,2.4189770402922495,2.4234110629601235,12.919468364472161,-7.1339466872361745,-18.18313992498123,-20.402257906173777,24.271686312383608,2.4234110629601235,51.89963469027802,65.72150253810833,-99.02349217233265,-75.60183690415033,-50.33729352814882,172.53803307884573,12.919468364472161,65.72150253810833,6849.960245707771
1,2,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,19.140527684317888,16.582182197815264,0.288448208202201,6.815632304324299,9.964761816264728,1019.3522067600113,558.7361324369671,76.5320421133367,35.541589324643645,1.106385194001163,5.808619778489826,0.3810506780292652,-35.887083181103336,-95.82293121045636,35.541589324643645,53.488096368124765,-1.0415315446288418,2.5110417545283195,0.4166722610689688,-15.853924321343031,-97.26928561752786,1.106385194001163,-1.0415315446288418,9.94163863789455,2.4020498241508883,0.009774163339068272,-2.1736851417220895,-3.791658174599348,5.808619778489826,2.5110417545283195,2.4020498241508883,55.615925304228305,-0.3733245858090513,-8.473491495409924,-11.04374976519032,0.3810506780292652,0.4166722610689688,0.009774163339068272,-0.3733245858090513,0.048620421331440684,-0.21527378705942354,-3.6854994238048002,-35.887083181103336,-15.853924321343031,-2.1736851417220895,-8.473491495409924,-0.21527378705942354,36.27110350534187,38.55777973660574,-95.82293121045636,-97.26928561752786,-3.791658174599348,-11.04374976519032,-3.6854994238048002,38.55777973660574,4000.491480369398
1,3,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,11.702393660665875,8.432816957754273,2.1670341210427373,82.10078230590337,8.676895362919828,1018.4261457725507,452.3311628195103,10.04319093301331,7.112440782452146,0.3473348204674903,-8.109031870578349,1.1132993542701508,3.4939762756420714,-22.10724457122066,7.112440782452146,17.775805742048075,5.164585060418767,-7.15374707529206,2.0271486210348337,-8.530599816246548,-69.70124251942391,0.3473348204674903,5.164585060418767,13.367449468769134,5.470660913393647,-0.7208675604779133,-13.536140860533314,-47.67346688980458,-8.109031870578349,-7.15374707529206,5.470660913393647,62.34536605035547,-7.963902444368375,-12.525659152485696,14.317343477285856,1.1132993542701508,2.0271486210348337,-0.7208675604779133,-7.963902444368375,4.0677929886801305,-1.6281737564718044,-16.891142919782524,3.4939762756420714,-8.530599816246548,-13.536140860533314,-12.525659152485696,-1.6281737564718044,53.285906267120716,170.7192275974972,-22.10724457122066,-69.70124251942391,-47.67346688980458,14.317343477285856,-16.891142919782524,170.7192275974972,1276.3453668250618
